1005964_1	0.611	1.527	1	1	1	147	127	68	22	106	92	53	7	0
1006372_1	1.198	2.294	1	1	2	3139	911	67	23	1426	398	54	7	0
1006780_1		0.792	1	1	3	149	40	74	35	152	20	55	30	-100
1007188_1	-0.850	0.555	1	1	4	562	135	71	22	961	234	54	8	0
1007496_1	-0.196	0.873	1	1	5	241	76	68	23	255	49	52	8	0
1007904_1	-1.374	0.386	1	1	6	343	83	70	24	778	67	53	8	0
1008312_1	-0.488	0.713	1	1	7	458	97	71	22	609	68	53	8	0
1008720_1	-1.156	0.449	1	1	8	423	77	70	22	859	131	53	8	0
1009028_1	-0.965	0.512	1	1	9	771	182	66	21	1464	205	54	7	0
1009436_1	-0.953	0.517	1	1	10	307	114	67	21	529	154	53	7	0
1009844_1	-0.400	0.758	1	1	11	126	43	72	23	127	47	54	8	0
1005988_1	0.660	1.580	1	2	1	181	55	70	23	125	26	53	12	0
1006396_1	0.461	1.377	1	2	2	153	39	67	23	117	21	53	7	0
1006804_1	-1.277	0.413	1	2	3	216	61	71	28	414	99	54	15	0
1007112_1	0.379	1.301	1	2	4	105	37	72	26	80	16	54	7	0
1007520_1	-0.252	0.840	1	2	5	317	69	67	24	359	65	54	8	0
1007928_1	-0.765	0.588	1	2	6	252	63	70	23	371	73	54	8	0
1008336_1	-0.957	0.515	1	2	7	535	191	70	23	978	278	53	8	0
1008644_1	0.521	1.435	1	2	8	93	32	72	21	68	12	53	7	0
1009052_1	-1.043	0.485	1	2	9	151	48	70	23	225	53	54	7	0
1009460_1	-1.135	0.455	1	2	10	296	74	68	23	567	84	54	7	0
1009868_1	0.050	1.035	1	2	11	168	63	70	23	150	34	53	8	0
1010163_1	-4.052	0.060	1	2	12	72	24	72	23	71	12	54	7	0
1006012_1	0.258	1.195	1	3	1	143	75	73	22	113	85	53	7	0
1006420_1	0.354	1.278	1	3	2	207	64	71	21	162	32	53	7	0
1006728_1	0.620	1.537	1	3	3	82	28	70	23	61	14	53	7	-50
1007136_1	0.813	1.757	1	3	4	158	190	74	45	103	93	54	8	0
1007544_1	-1.333	0.397	1	3	5	146	36	72	25	246	35	55	9	0
1007952_1	-1.133	0.456	1	3	6	531	187	73	22	1082	436	53	7	0
1008260_1	-1.014	0.495	1	3	7	476	84	69	22	895	127	53	8	0
1008668_1	0.648	1.567	1	3	8	95	25	69	23	72	13	55	7	0
1009076_1	0.605	1.521	1	3	9	118	31	69	23	87	14	54	7	0
1009484_1	-1.380	0.384	1	3	10	837	304	73	23	2092	646	54	7	0
1010153_1	-0.891	0.539	1	3	12	92	31	72	23	91	15	53	8	0
1006036_1	-0.047	0.968	1	4	1	86	26	69	21	72	13	54	8	0
1006344_1	-0.405	0.755	1	4	2	167	42	69	22	187	29	54	11	0
1006752_1	-0.978	0.508	1	4	3	2567	332	68	22	5097	644	54	7	0
1007160_1	-0.629	0.647	1	4	4	4903	2885	69	22	7715	4715	54	8	0
1007568_1	-0.674	0.627	1	4	5	442	104	69	23	665	139	55	8	0
1007876_1	-0.656	0.635	1	4	6	1325	145	70	23	2080	163	54	7	0
1008284_1	-0.857	0.552	1	4	7	1779	345	66	21	3235	331	55	7	0
1008692_1	-1.068	0.477	1	4	8	415	87	70	22	795	99	54	8	0
1009100_1	-1.093	0.469	1	4	9	1456	307	69	22	3085	321	54	7	0
1009804_1	-0.035	0.976	1	4	10	130	42	70	21	117	23	54	8	0
1006206_1	-1.039	0.487	1	4	12	3571	1776	69	23	7427	3650	54	7	0
1005960_1	0.965	1.952	1	5	1	108	39	68	22	75	29	54	7	0
1006368_1	0.128	1.093	1	5	2	100	30	68	22	84	16	54	7	0
1006776_1	-0.254	0.839	1	5	3	575	84	70	23	671	100	54	7	0
1007184_1	0.746	1.677	1	5	4	106	32	70	22	77	19	55	7	0
1007492_1	-0.337	0.792	1	5	5	1492	971	70	23	1894	1157	54	7	0
1007900_1	-0.460	0.727	1	5	6	114	36	70	22	116	41	54	8	0
1008308_1	-0.906	0.534	1	5	7	319	70	70	23	532	102	54	7	0
1008716_1	-0.024	0.984	1	5	8	94	39	70	23	80	15	55	7	0
1009420_1	-1.199	0.435	1	5	9	188	48	69	22	335	39	55	8	0
1009828_1	0.340	1.266	1	5	10	176	62	71	22	139	27	54	8	0
1010167_1	0.555	1.469	1	5	12	157	78	71	23	114	18	54	7	0
1005984_1	0.641	1.559	1	6	1	140	64	70	23	100	35	54	7	0
1006392_1	-0.135	0.911	1	6	2	102	31	70	22	91	16	55	7	0
1006800_1	-0.231	0.852	1	6	3	141	43	72	22	138	21	55	8	0
1007108_1	-0.757	0.592	1	6	4	317	69	71	23	481	74	55	8	0
1007516_1	0.169	1.124	1	6	5	838	302	71	20	753	211	54	8	0
1007924_1	-1.101	0.466	1	6	6	885	143	74	22	1836	118	54	7	0
1008332_1	-0.850	0.555	1	6	7	1660	239	72	22	2988	441	55	7	0
1009036_1	-0.280	0.823	1	6	8	298	74	73	22	335	49	55	7	0
1009444_1	-0.808	0.571	1	6	9	957	163	72	29	1644	154	56	23	0
1009852_1	0.772	1.708	1	6	10	88	30	73	25	64	9	55	8	0
1010159_1	0.450	1.366	1	6	12	84	25	72	22	62	12	53	7	-50
1006008_1	0.272	1.208	1	7	1	103	36	70	22	84	20	56	7	0
1006416_1	-0.492	0.711	1	7	2	253	61	74	22	313	65	55	7	0
1006724_1	-0.335	0.793	1	7	3	457	85	71	22	553	92	54	8	0
1007132_1	-0.257	0.837	1	7	4	258	68	71	22	283	65	54	7	0
1007540_1	-0.793	0.577	1	7	5	623	85	76	22	1026	96	55	9	0
1007948_1	-1.061	0.479	1	7	6	334	63	73	22	613	88	55	7	0
1008652_1	-1.083	0.472	1	7	7	209	52	74	23	348	41	55	8	0
1009060_1	-0.463	0.725	1	7	8	599	101	71	21	802	102	56	7	0
1009468_1	-1.034	0.488	1	7	9	132	40	71	24	182	27	54	7	0
1009876_1	0.509	1.423	1	7	10	196	89	71	22	144	55	54	8	0
1322226_1	-0.327	0.797	1	7	11	84	29	70	19	72	12	54	7	0
1009317_1	0.619	1.536	1	7	12	29455	11410	75	24	19652	6871	54	8	0
1006032_1	-0.756	0.592	1	8	1	1244	270	69	21	2089	239	55	9	0
1006340_1	-0.545	0.685	1	8	2	178	69	71	21	215	65	55	7	0
1006748_1	-1.150	0.451	1	8	3	266	130	72	22	497	71	56	7	0
1007156_1	0.834	1.782	1	8	4	112	54	72	22	78	23	55	8	0
