44	72	49	570	841	805	61	36	29	649	678	.936	0	.188	1.379	83	87	.708	.878	1.412	1.139	1.28	1030	208	121	137	239	255
45	64	47	722	1192	1157	73	35	28	933	961	.945	0	.37	1.626	93	93	.624	.774	1.602	1.292	1.571	1028	208	121	137	261	277
46	65	47	252	379	344	74	35	28	277	306	.934	0	.139	1.369	84	83	.733	.908	1.365	1.101	1.303	1051	208	121	137	283	299
47	62	47	138	200	163	59	37	30	131	161	.837	0	-.07	1.161	82	82	.847	1.05	1.181	.953	.943	1058	208	121	137	305	321
48	58	46	275	187	152	53	35	28	123	151	.88	0	-1.166	.57	93	90	1.809	2.243	.553	.446	.536	1036	208	122	138	327	343
49	80	47	281	492	455	83	37	30	367	397	.857	0	.385	1.644	99	100	.618	.766	1.619	1.306	1.408	1036	208	122	138	349	365
50	78	48	593	840	801	77	39	31	646	677	.947	0	.123	1.358	89	93	.74	.918	1.351	1.089	1.29	1028	225	122	139	371	388
51	52	48	54	105	67	42	38	31	54	85	.792	0	.001	1.205	65	72	.806	.999	1.241	1.001	.874	1035	208	123	139	393	409
52	59	50	370	505	467	58	38	31	377	407	.956	0	.026	1.263	74	76	.792	.982	1.262	1.018	1.16	1023	225	123	140	415	432
53	62	50	291	546	507	57	39	31	409	440	.911	0	.491	1.74	90	98	.574	.712	1.742	1.405	1.512	1029	225	123	140	437	454
54	62	51	702	937	898	48	39	31	724	756	.954	0	.045	1.308	94	98	.782	.969	1.279	1.032	1.166	1193	225	121	138	460	477
55	50	41	425	529	501	37	28	23	404	427	.92	0	-.073	1.176	93	95	.848	1.052	1.179	.951	1.042	1153	208	141	157	84	100
56	51	45	457	670	641	38	29	23	517	540	.888	0	.178	1.4	95	98	.713	.884	1.403	1.131	1.257	1006	208	141	157	106	122
57	54	44	225	383	353	45	30	24	285	309	.803	0	.339	1.608	92	94	.637	.79	1.569	1.265	1.153	1044	208	141	157	128	144
58	51	42	710	691	662	49	29	23	534	557	.884	0	-.411	.95	95	97	1.073	1.33	.932	.752	.852	1072	208	141	157	150	166
59	49	40	334	423	396	43	27	22	319	341	.866	0	-.065	1.184	90	93	.843	1.046	1.186	.956	.975	1039	208	142	158	172	188
60	48	41	246	413	384	37	29	23	310	333	.9	0	.332	1.621	87	89	.641	.794	1.561	1.259	1.214	1029	208	142	158	194	210
61	47	44	305	643	612	35	31	25	494	519	.86	0	.694	1.978	93	97	.498	.618	2.007	1.618	1.621	1050	225	142	159	216	233
62	49	45	167	312	280	39	32	26	226	252	.868	0	.435	1.668	85	85	.596	.74	1.677	1.352	1.294	1029	208	143	159	240	256
63	49	43	133	247	216	40	31	25	174	199	.903	0	.389	1.573	75	79	.616	.764	1.624	1.31	1.385	998	208	143	159	260	276
64	48	44	150	343	312	39	31	25	252	277	.921	0	.746	1.96	74	82	.481	.596	2.08	1.677	1.783	1026	225	143	160	282	299
65	49	45	377	730	697	37	33	27	562	589	.901	0	.576	1.839	93	95	.541	.671	1.849	1.491	1.573	1035	225	144	161	305	322
66	49	46	1146	1312	1278	38	34	27	1031	1058	.93	0	-.153	1.114	95	96	.897	1.112	1.115	.899	1.053	1006	225	144	161	327	344
67	51	46	208	302	266	44	36	29	215	244	.828	0	.045	1.32	93	96	.782	.97	1.279	1.031	.928	1022	208	144	160	349	365
68	50	46	407	544	508	44	36	29	410	439	.813	0	.009	1.269	99	99	.801	.993	1.248	1.007	.952	1040	208	144	160	371	387
69	47	45	329	513	478	39	35	28	385	414	.787	0	.229	1.466	96	98	.688	.853	1.453	1.172	1.056	1034	208	145	161	393	409
70	48	46	98	141	106	38	35	28	85	114	.733	0	-.197	1.063	85	89	.925	1.146	1.082	.872	.661	1021	208	145	161	415	431
71	53	48	390	687	650	42	37	30	524	554	.9	0	.427	1.667	93	96	.6	.744	1.667	1.344	1.458	1047	208	145	161	437	453
72	55	49	152	212	176	40	36	29	142	171	.781	0	-.099	1.141	92	96	.864	1.071	1.158	.934	.743	1200	225	146	163	459	476
73	48	42	389	708	680	38	28	23	548	571	.889	0	.495	1.758	94	95	.572	.709	1.748	1.41	1.5	1164	208	163	179	83	99
74	51	46	970	1411	1379	41	32	26	1112	1138	.917	0	.197	1.443	97	99	.703	.872	1.422	1.146	1.253	1032	208	163	179	105	121
75	48	44	584	1104	1073	38	31	25	865	890	.936	0	.567	1.861	91	94	.544	.675	1.837	1.482	1.785	1067	208	163	179	127	143
76	44	40	279	465	438	33	27	22	353	375	.885	0	.34	1.611	88	95	.637	.79	1.57	1.266	1.402	1086	208	164	180	150	166
77	45	40	228	270	244	33	26	21	197	218	.867	0	-.212	1.111	83	87	.934	1.159	1.07	.863	.871	1024	208	164	180	172	188
78	45	40	265	401	373	33	28	23	301	323	.882	0	.183	1.416	90	94	.71	.881	1.408	1.135	1.238	1016	208	164	180	194	210
79	43	41	57	95	66	30	29	23	53	77	.82	0	-.099	1.184	71	77	.864	1.071	1.158	.934	.828	1055	208	165	181	216	232
80	46	42	508	672	642	32	30	24	518	542	.947	0	.027	1.281	88	91	.791	.981	1.264	1.019	1.22	1052	225	165	182	238	255
81	46	41	296	343	314	33	29	23	253	277	.932	0	-.225	1.055	87	90	.943	1.169	1.061	.855	.927	1008	208	165	181	262	278
82	43	42	81	135	106	30	29	23	85	109	.767	0	.078	1.344	82	85	.764	.948	1.309	1.055	.94	1006	208	165	181	282	298
83	44	42	506	661	631	31	30	24	509	533	.95	0	.008	1.27	80	86	.802	.994	1.247	1.006	1.209	1019	208	166	182	304	320
84	47	43	813	891	860	35	31	25	694	719	.876	0	-.229	1.072	100	100	.945	1.172	1.058	.853	1.066	1007	208	166	182	326	342
85	50	46	452	558	524	42	34	27	423	450	.905	0	-.097	1.174	92	93	.863	1.07	1.159	.935	1.063	1029	208	166	182	348	364
86	52	48	1227	2034	1996	47	38	31	1610	1640	.938	0	.392	1.624	95	96	.615	.762	1.627	1.312	1.613	1079	208	167	183	370	386
87	49	46	903	1268	1232	42	36	29	994	1023	.945	0	.138	1.38	93	98	.733	.909	1.364	1.1	1.308	1054	208	167	183	393	409
88	48	45	666	1038	1003	37	35	28	809	837	.915	0	.28	1.54	93	95	.664	.823	1.506	1.215	1.429	1026	208	167	183	415	431
89	61	48	189	294	257	54	37	30	207	237	.868	0	.133	1.377	84	88	.735	.912	1.36	1.097	1.106	1062	208	168	184	437	453
90	67	47	113	159	124	67	35	28	100	128	.8	0	-.176	1.1	83	87	.911	1.13	1.097	.885	.826	1217	208	168	184	459	475
91	49	42	2071	3765	3737	34	28	23	3014	3036	.944	0	.541	1.828	96	100	.554	.687	1.804	1.455	1.6	1159	208	185	201	83	99
92	51	45	230	487	455	39	32	26	367	393	.917	0	.674	2.011	87	91	.505	.627	1.978	1.595	1.719	1036	208	185	201	105	121
93	52	44	215	370	338	43	32	26	273	298	.869	0	.342	1.582	88	87	.636	.789	1.572	1.268	1.361	1087	208	185	201	127	143
94	47	41	244	378	350	34	28	23	282	305	.93	0	.21	1.391	66	72	.697	.864	1.434	1.157	1.257	1090	208	186	202	151	167
95	46	40	172	320	293	31	27	22	236	258	.92	0	.458	1.714	76	83	.587	.728	1.703	1.374	1.409	1020	208	186	202	174	190
96	45	41	84	118	88	32	30	24	71	95	.788	0	-.243	1.028	78	81	.955	1.184	1.048	.845	.802	1013	208	186	202	193	209
97	45	42	98	186	156	32	30	24	126	150	.903	0	.36	1.521	63	74	.628	.779	1.592	1.284	1.26	1054	208	187	203	215	231
98	44	41	88	146	118	30	28	23	95	118	.789	0	.113	1.315	80	82	.746	.925	1.341	1.081	.962	1042	208	187	203	238	254
99	43	40	50	86	58	29	28	23	47	69	.644	0	-.096	1.093	70	78	.862	1.069	1.16	.935	.599	1017	208	187	203	260	276
100	42	40	241	338	310	29	28	23	250	273	.935	0	.053	1.276	80	84	.777	.964	1.286	1.037	1.172	1023	208	188	204	282	298
