1_1_1	null	null	null	1320	18540	90	1226	1608	1130	58	61	20	100	100	0	1789	2175	1573	39	40	5	100	100	0	0.667	0.726	0.722	1.045	1.138	0.629	0.761	52	406	2918	3686	-0.583	1168	1750	1550	2136	0
1_1_2	null	null	null	1500	18550	50	209	281	156	59	59	18	100	100	0	137	190	144	38	38	5	100	100	0	1.515	1.461	1.533	4.918	7.524	0.645	0.073	12	104	249	374	0.599	150	99	222	152	-100
1_1_3	null	null	null	1680	18530	100	2310	3519	3025	58	60	23	98	97	0	4661	4934	3334	41	41	5	100	100	0	0.487	0.707	0.604	0.712	0.561	0.691	0.764	80	523	6872	8354	-1.037	2252	4620	3461	4893	0
1_1_4	null	null	null	1860	18520	90	1238	1419	903	57	60	23	100	100	0	2024	2393	1428	41	41	6	100	100	0	0.596	0.579	0.520	0.678	0.644	0.543	0.840	52	407	3164	3714	-0.748	1181	1983	1362	2352	0
1_1_5	null	null	null	2050	18540	50	362	379	216	59	62	23	100	91	0	171	259	297	42	44	10	100	66	0	2.349	1.475	1.604	11.239	14.465	0.339	0.060	12	104	432	537	1.232	303	129	320	217	-100
1_1_6	null	null	null	2220	18520	100	3931	4588	3341	58	60	22	100	100	0	5438	6029	3372	42	42	8	100	100	0	0.718	0.757	0.726	0.749	0.456	0.764	0.836	80	497	9269	10517	-0.478	3873	5396	4530	5987	0
1_1_7	null	null	null	2400	18510	90	3220	4261	3400	59	61	23	100	100	0	3494	3619	2101	41	42	7	100	100	0	0.915	1.174	1.047	1.559	1.884	1.093	0.675	52	387	6614	7780	-0.127	3161	3453	4202	3578	0
1_1_8	null	null	null	2570	18510	80	1874	2399	1534	62	64	23	100	100	0	2080	2585	1624	41	42	9	100	100	0	0.889	0.919	0.868	1.104	0.885	0.831	0.654	52	312	3851	4881	-0.170	1812	2039	2337	2544	0
1_1_9	null	null	null	2760	18500	80	659	810	556	58	62	24	100	100	0	1074	1203	755	44	44	6	100	100	0	0.583	0.649	0.586	0.921	0.856	0.525	0.595	52	326	1631	1911	-0.777	601	1030	752	1159	0
1_1_10	null	null	null	2930	18500	100	446	878	1793	59	62	26	98	96	0	663	1048	1326	45	45	6	100	98	0	0.626	0.817	0.622	0.769	0.697	0.876	0.518	80	492	1005	1822	-0.675	387	618	819	1003	0
1_1_11	null	null	null	3120	18500	80	164	238	236	55	59	24	86	69	0	153	211	176	45	45	6	100	100	0	1.009	1.102	0.679	2.175	4.059	0.803	0.316	52	340	217	349	0.013	109	108	183	166	0
1_1_12	null	null	null	3300	18500	90	246	334	214	57	61	23	100	100	0	353	415	255	45	46	6	100	100	0	0.614	0.749	0.623	1.142	1.429	0.533	0.464	52	397	497	647	-0.705	189	308	277	370	0
1_1_13	null	null	null	3480	18490	90	369	455	302	58	62	23	100	100	0	511	566	337	46	46	6	100	100	0	0.669	0.763	0.705	0.930	0.760	0.681	0.701	52	408	776	917	-0.580	311	465	397	520	0
1_1_14	null	null	null	3660	18490	80	584	742	508	61	65	27	100	100	0	708	752	462	45	47	10	100	100	0	0.789	0.963	0.859	1.285	1.297	0.743	0.533	52	313	1186	1388	-0.342	523	663	681	707	0
1_1_15	null	null	null	3820	18470	100	65	63	20	60	67	31	8	0	0	45	45	5	46	48	10	3	0	0	-5.000	-3.000	3.988	7.404	7.704	0.623	0.039	80	466	4	2	Error	5	-1	3	-1	-50
1_1_16	null	null	null	4000	18470	100	58	62	21	64	69	30	10	1	0	43	44	6	43	44	8	12	2	0	100000.000	-2.000	3.750	6.911	7.643	1.932	0.246	80	475	-6	-1	16.610	-6	0	-2	1	-50
1_1_17	null	null	null	4180	18460	100	63	67	20	65	68	26	12	0	0	40	40	5	41	42	5	8	3	0	2.000	-2.000	3.000	8.086	10.629	-0.244	0.003	80	474	-3	1	1.000	-2	-1	2	-1	-50
1_1_18	null	null	null	4360	18460	100	63	67	22	64	68	24	15	3	0	40	40	4	41	42	5	10	0	0	1.000	-3.000	5.000	8.085	9.484	0.217	0.002	80	488	-2	2	0.000	-1	-1	3	-1	-50
1_1_19	null	null	null	4540	18450	100	61	67	22	63	67	22	17	6	0	41	42	5	41	42	5	22	3	0	100000.000	4.000	2.500	7.070	10.922	-0.085	0.000	80	468	-2	5	16.610	-2	0	4	1	-50
1_1_20	null	null	null	4720	18450	100	67	69	23	62	66	25	22	3	0	41	42	5	42	43	6	7	1	0	-5.000	100000.000	5.567	10.238	13.194	0.412	0.008	80	472	4	7	Error	5	-1	7	0	-50
1_1_21	null	null	null	4890	18450	100	58	64	24	62	65	21	20	7	0	41	42	5	42	42	5	15	3	0	4.000	100000.000	3.500	5.584	5.902	-0.362	0.007	80	464	-5	2	2.000	-4	-1	2	0	-50
1_1_22	null	null	null	5070	18440	100	66	66	21	62	64	21	16	3	0	42	42	5	42	42	5	17	1	0	100000.000	100000.000	3.690	5.648	6.729	0.052	0.000	80	466	4	4	16.610	4	0	4	0	-50
1_1_23	null	null	null	5250	18440	100	65	69	25	62	65	21	26	10	0	42	46	23	42	42	5	21	10	0	100000.000	1.750	3.000	5.306	6.602	0.208	0.013	80	484	3	11	16.610	3	0	7	4	-50
1_1_24	null	null	null	5430	18440	100	66	69	21	62	65	22	20	3	0	42	42	5	41	42	5	20	2	0	4.000	7.000	4.103	7.325	12.829	-0.097	0.001	80	507	5	8	2.000	4	1	7	1	-50
1_2_1	0.1180452775	-0.053242021	8.666866	1320	18710	80	457	636	465	58	60	20	100	100	0	452	519	345	38	38	5	100	100	0	0.964	1.202	0.985	1.496	1.360	1.113	0.776	52	328	813	1059	-0.053	399	414	578	481	0
1_2_2	0.1518346620	-0.033802708	8.874882	1500	18700	70	526	642	414	62	64	24	100	96	0	514	708	480	39	40	6	100	100	0	0.977	0.867	0.856	1.037	0.920	0.775	0.767	32	236	939	1249	-0.034	464	475	580	669	0
1_2_3	null	null	null	1690	18710	60	160	285	244	55	57	20	90	81	0	127	270	297	40	40	6	93	93	0	1.207	1.000	1.058	2.948	4.671	0.650	0.532	32	176	192	460	0.271	105	87	230	230	-100
1_2_4	-0.1342713436	-0.333423734	9.132496	1860	18700	70	559	680	366	59	60	21	100	100	0	670	693	370	40	40	5	100	100	0	0.794	0.951	0.868	1.315	1.400	0.818	0.732	32	236	1130	1274	-0.333	500	630	621	653	0
1_2_5	0.1163096797	-0.027170201	8.052504	2040	18700	70	321	467	351	58	60	21	100	100	0	307	404	315	39	40	5	100	100	0	0.981	1.121	1.188	1.915	2.635	1.024	0.811	32	236	531	774	-0.027	263	268	409	365	0
1_2_6	0.2634298088	0.146841388	7.465738	2220	18690	80	245	359	312	59	62	22	98	94	0	209	358	380	41	41	5	100	94	0	1.107	0.946	0.965	2.483	3.474	0.702	0.651	52	326	354	617	0.147	186	168	300	317	0
1_2_7	0.1343484946	-0.066792704	9.290784	2400	18690	80	670	775	440	58	60	21	100	100	0	682	801	494	41	41	5	100	100	0	0.955	0.943	0.902	1.193	1.041	0.788	0.734	52	313	1253	1477	-0.067	612	641	717	760	0
1_2_8	null	null	null	2560	18670	100	75	101	89	57	59	21	45	26	0	66	87	74	41	41	5	65	58	0	0.720	0.957	1.060	2.994	5.960	0.600	0.189	80	457	43	90	-0.474	18	25	44	46	-50
1_2_9	-0.0070574028	-0.195819326	8.924458	2750	18680	70	514	545	297	60	61	21	100	100	0	562	642	373	42	43	5	100	100	0	0.873	0.808	0.724	1.566	3.435	0.684	0.714	32	236	974	1085	-0.196	454	520	485	600	0
1_2_10	-1.3928695811	-1.563173812	9.648866	2930	18680	80	525	699	544	58	61	23	100	100	0	1424	1576	1182	44	44	6	100	100	0	0.338	0.418	0.444	0.613	0.534	0.372	0.730	52	321	1847	2173	-1.563	467	1380	641	1532	0
1_2_11	-0.5978342121	-0.762605415	8.561212	3110	18670	70	346	459	333	56	60	23	100	100	0	535	707	474	43	43	8	100	100	0	0.589	0.607	0.563	0.945	1.306	0.544	0.579	32	236	782	1067	-0.763	290	492	403	664	0
1_2_12	-0.9138353576	-1.100718938	8.894655	3290	18660	70	382	539	341	57	58	22	100	96	0	738	931	676	41	42	6	100	100	0	0.466	0.542	0.485	0.638	0.500	0.414	0.566	32	236	1022	1372	-1.101	325	697	482	890	0
1_2_13	null	null	null	3470	18670	50	157	210	101	62	66	22	100	91	0	260	266	168	44	46	10	100	91	0	0.440	0.667	0.665	1.802	3.872	0.423	0.164	12	104	311	370	-1.185	95	216	148	222	0
1_2_14	-0.3859656434	-0.511113471	7.639261	3660	18660	80	228	354	350	61	73	112	57	42	0	282	511	471	44	49	63	78	75	0	0.702	0.627	0.584	1.236	1.905	0.568	0.514	52	334	405	760	-0.511	167	238	293	467	0
1_2_15	-0.9734238481	-1.140990101	8.609414	3830	18650	70	320	380	189	57	60	24	100	100	0	625	707	377	45	46	7	100	100	0	0.453	0.488	0.480	0.601	0.499	0.434	0.587	32	236	843	985	-1.141	263	580	323	662	0
1_2_16	0.0832134683	-0.026800059	7.335328	4010	18660	80	222	372	433	62	64	21	96	94	0	206	345	355	43	43	5	100	100	0	0.982	1.026	0.839	1.327	1.328	0.939	0.661	52	326	323	612	-0.027	160	163	310	302	0
1_2_17	0.8732627989	0.719478167	8.319741	4190	18650	80	473	503	314	63	64	21	90	88	0	291	373	298	42	42	5	98	98	0	1.647	1.329	1.335	2.515	3.449	1.005	0.709	52	334	659	771	0.719	410	249	440	331	0
1_2_18	-0.8619282529	-0.976153258	7.418814	4370	18650	50	186	276	189	64	66	20	100	91	0	282	286	138	42	43	8	100	100	0	0.508	0.869	0.646	0.828	0.550	0.819	0.447	12	104	362	456	-0.976	122	240	212	244	0
1_2_19	-0.1177074928	-0.226592410	7.312969	4550	18650	80	208	419	587	61	64	22	94	94	0	214	337	329	42	42	6	100	100	0	0.855	1.214	0.892	1.859	2.493	0.835	0.275	52	334	319	653	-0.227	147	172	358	295	0
