1	1870	23480	130	778	876	383	1095	1248	669	5	0	0	1042	1285	717	456	540	327	71	47	0	-0.541	-0.264	0.534	4.137	11.386	0.165	0.024	120	717	Error	-317	586	-219	829	-10000	-10000	-10000	-7.049989459	2.211302966	31
2	2060	23470	100	1132	1277	593	1583	1621	570	10	3	0	454	585	550	608	680	399	6	2	0	2.929	13.304	2.699	4.932	10.102	0.837	0.334	80	440	1.55	-451	-154	-306	-23	-50	-10000	-10000	0.050408348	0.299594606	42
3	2230	23470	100	556	619	254	654	816	514	3	1	0	347	355	103	347	414	270	3	0	0	100000	-4.375	2.756	4.368	5.489	1.035	0.391	80	436	16.61	-98	0	-35	8	-50	-10000	-10000	-0.039622504	0	1
4	2410	23470	100	370	490	330	377	417	151	23	16	0	281	302	98	272	281	75	20	10	0	-0.778	3.767	2.735	6.381	15.406	1.353	0.26	80	440	Error	-7	9	113	30	-50	-10000	-10000	0.050408348	0.299594606	42
5	2580	23460	100	454	509	208	357	369	86	55	28	0	359	367	83	267	279	80	53	16	0	1.054	1.52	1.168	2.427	4.532	0.721	0.184	80	383	0.076	97	92	152	100	-50	-10000	-10000	-0.094022236	0.272634061	8
6	2740	23460	120	3168	3084	1450	345	350	79	100	100	0	3053	3016	1589	268	276	80	100	98	0	1.014	0.997	1.002	1.134	0.648	0.94	0.939	120	500	0.02	2823	2785	2739	2748	0	1.047695411	0.067219353	-0.142936285	0.157994632	15
7	2910	23450	110	856	876	249	350	359	84	100	95	0	635	650	258	272	275	56	97	92	0	1.394	1.392	1.473	1.854	1.851	1.027	0.687	80	482	0.479	506	363	526	378	0	1.414699408	0.500495546	0.115757399	0.198824702	15
8	3110	23450	100	385	448	191	361	366	85	36	21	0	268	286	83	272	276	64	21	7	0	-6	6.214	1.996	5.246	11.7	0.46	0.066	80	427	Error	24	-4	87	14	-50	-10000	-10000	0.050408348	0.299594606	42
9	3260	23440	110	2822	3212	1446	377	410	266	100	100	0	3138	3410	1820	278	299	173	100	100	0	0.855	0.905	0.892	1.017	0.431	0.788	0.921	80	420	-0.226	2445	2860	2835	3132	0	0.885018832	-0.17621994	-0.30321345	0.12699351	2
10	3450	23440	120	1371	1312	347	363	387	233	95	89	0	849	838	232	268	286	148	94	86	0	1.735	1.665	1.67	2.051	3.057	1.477	0.829	120	557	0.795	1008	581	949	570	0	1.762094006	0.817290892	0.879662256	0.062371364	2
11	3630	23430	100	410	474	229	350	372	159	26	13	0	299	307	96	260	300	384	0	0	0	1.538	2.638	1.659	4.157	8.177	0.721	0.14	80	423	0.621	60	39	124	47	-50	-10000	-10000	0.050408348	0.299594606	42
12	3810	23430	100	389	476	252	337	354	118	35	18	0	288	311	109	259	282	262	6	1	0	1.793	2.673	1.668	5.481	14.659	0.346	0.318	80	427	0.842	52	29	139	52	-50	-10000	-10000	0.050408348	0.299594606	42
13	3990	23420	100	415	503	271	353	369	91	43	25	0	303	325	100	262	271	74	31	16	0	1.512	2.381	1.943	4.766	12.434	0.808	0.201	80	427	0.597	62	41	150	63	-50	-10000	-10000	0.050408348	0.299594606	42
14	4160	23420	100	381	459	219	366	375	81	35	18	0	287	304	97	275	284	105	16	3	0	1.25	3.207	1.447	3.43	5.797	0.358	0.099	80	444	0.322	15	12	93	29	-50	-10000	-10000	0.050408348	0.299594606	42
15	4340	23410	100	451	499	173	410	449	171	26	8	0	344	360	95	289	309	144	18	3	0	0.745	1.254	1.527	4.048	7.045	0.601	0.113	80	437	-0.424	41	55	89	71	-50	-10000	-10000	-0.288026949	0	1
16	4510	23410	100	445	511	192	450	489	206	20	7	0	335	342	113	305	319	118	12	3	0	-0.167	1.649	2.177	3.851	6.096	0.8	0.173	80	455	Error	-5	30	61	37	-50	-10000	-10000	-0.007623701	0.204692782	7
17	4690	23400	100	393	458	271	416	442	135	18	8	0	302	336	206	292	298	93	21	7	0	-2.3	0.955	1.647	3.306	4.948	0.696	0.289	80	430	Error	-23	10	42	44	-50	-10000	-10000	0.149802367	0.203000366	4
18	4860	23400	100	413	474	178	387	410	115	26	17	0	307	313	72	289	294	82	21	3	0	1.444	3.625	1.739	3.647	4.73	0.503	0.061	80	427	0.531	26	18	87	24	-50	-10000	-10000	0.268597601	0.33005378	5
19	5040	23390	120	971	967	271	360	369	97	95	92	0	1019	1048	435	272	278	80	92	91	0	0.818	0.782	0.792	1.005	0.975	0.654	0.742	120	584	-0.29	611	747	607	776	0	0.851610861	-0.231733745	-0.246385598	0.260446287	15
20	5230	23360	120	2831	2884	1484	354	363	97	99	96	0	2099	2127	1151	269	278	140	96	94	0	1.354	1.362	1.352	1.464	0.566	1.254	0.894	120	504	0.437	2477	1830	2530	1858	0	1.39426321	0.47950294	0.307262658	0.115869771	18
21	5400	23360	120	1511	1547	657	386	387	85	98	96	0	1486	1659	809	286	295	137	96	95	0	0.938	0.846	0.856	1.05	1.2	0.789	0.868	120	526	-0.093	1125	1200	1161	1373	0	0.970427574	-0.043307551	-0.19614126	0.152833709	2
22	5610	23350	140	603	752	454	425	480	250	40	22	0	367	410	208	306	325	128	28	13	0	2.918	3.144	2.408	5.521	12.331	1.584	0.514	156	704	1.545	178	61	327	104	-100	-10000	-10000	0.050408348	0.299594606	42
23	5740	23380	100	454	527	234	462	515	247	15	7	0	322	342	116	318	339	128	7	3	0	-2	2.708	1.49	4.573	7.789	0.487	0.132	80	333	Error	-8	4	65	24	-50	-10000	-10000	0.050408348	0.299594606	42
24	5910	23370	100	417	487	229	395	405	95	27	17	0	299	314	83	289	296	67	27	10	0	2.2	3.68	2.144	4.236	8.232	0.691	0.102	80	480	1.138	22	10	92	25	-50	-10000	-10000	-0.084147746	0.940655151	16
25	1890	23660	120	942	898	328	415	774	680	23	0	0	749	761	288	306	394	254	72	40	0	1.19	1.062	1.057	1.629	2.856	1.264	0.482	120	526	0.25	527	443	483	455	0	1.219255157	0.286000074	0.123663076	0.162336998	2
26	2070	23650	100	958	973	293	429	891	737	26	0	0	760	754	201	319	453	356	66	6	0	1.2	1.251	1.198	1.425	0.929	1.172	0.468	80	397	0.262	529	441	544	435	-50	-10000	-10000	0.29975559	0	1
27	2250	23650	120	738	725	182	388	525	377	40	0	0	613	628	208	281	327	203	71	40	0	1.054	0.971	0.994	1.543	2.287	0.794	0.477	120	487	0.076	350	332	337	347	0	1.08583648	0.118806858	-0.013246562	0.13205342	2
28	2420	23640	100	371	467	274	357	384	132	27	16	0	280	297	101	265	274	79	23	6	0	0.933	3.438	2.4	7.273	14.883	0.919	0.224	80	371	-0.1	14	15	110	32	-50	-10000	-10000	0.050408348	0.299594606	42
29	2600	23640	120	1296	1290	322	344	352	81	100	99	0	1776	1744	531	262	268	75	100	99	0	0.629	0.638	0.635	0.713	0.387	0.588	0.853	120	459	-0.669	952	1514	946	1482	0	0.656231873	-0.607722427	-0.6272148	0.019492372	2
30	2780	23630	120	2858	2984	810	347	353	83	100	99	0	3335	3484	1014	266	274	71	100	100	0	0.818	0.819	0.824	0.835	0.207	0.795	0.939	120	397	-0.29	2511	3069	2637	3218	0	0.847286558	-0.239078114	-0.323733619	0.084655505	2
31	2950	23630	120	1536	1512	474	358	363	82	99	96	0	1376	1358	459	276	280	61	99	96	0	1.071	1.067	1.07	1.197	0.714	0.985	0.874	120	438	0.099	1178	1100	1154	1082	0	1.105387327	0.144551978	0.064778424	0.079773554	2
32	3130	23630	120	755	795	261	361	362	84	98	88	0	725	733	358	275	281	69	91	86	0	0.876	0.948	0.973	2.28	6.993	0.744	0.74	120	420	-0.192	394	450	434	458	0	0.911846614	-0.133136933	-0.118661362	0.014475571	2
33	3300	23600	120	3986	3949	1477	361	386	261	98	97	0	3226	3326	1536	266	289	167	98	98	0	1.225	1.173	1.241	1.295	0.485	1.038	0.859	120	426	0.292	3625	2960	3588	3060	0	1.264008241	0.338005869	0.280221451	0.057784418	2
34	3470	23610	100	393	490	277	358	362	78	38	25	0	308	326	125	267	271	55	42	20	0	0.854	2.237	1.522	2.879	3.802	1.155	0.345	80	351	-0.228	35	41	132	59	-50	-10000	-10000	0.050408348	0.299594606	42
35	3650	23610	120	831	840	198	350	355	73	96	95	0	928	984	288	269	276	64	100	98	0	0.73	0.685	0.695	0.767	0.387	0.599	0.717	120	508	-0.454	481	659	490	715	0	0.764708278	-0.387018603	-0.366959956	0.020058647	2
36	3830	23600	130	4425	4768	1755	348	359	106	100	100	0	5109	5512	2084	266	280	119	100	100	0	0.842	0.843	0.873	0.864	0.187	0.819	0.932	120	502	-0.248	4077	4843	4420	5246	0	0.871056775	-0.199161339	-0.243263654	0.044102315	2
37	4000	23600	120	944	944	299	355	362	88	95	87	0	1002	986	365	265	270	62	95	94	0	0.799	0.817	0.863	0.997	0.824	0.71	0.738	120	444	-0.323	589	737	589	721	0	0.832942029	-0.263712005	-0.230415535	0.03329647	2
38	4170	23600	110	737	729	164	359	362	80	96	82	0	689	705	224	271	283	132	95	78	0	0.904	0.853	0.916	1.034	0.793	0.642	0.638	80	427	-0.145	378	418	370	434	0	0.940378511	-0.088686523	-0.104646508	0.015959985	2
39	4350	23590	110	1193	1184	342	365	389	163	98	93	0	1249	1251	394	277	291	114	100	100	0	0.852	0.841	0.855	0.879	0.294	0.758	0.825	80	424	-0.231	828	972	819	974	0	0.884413268	-0.177207426	-0.183863129	0.006655703	2
40	4490	23590	80	542	603	299	374	405	187	42	15	0	397	413	120	288	299	93	57	25	0	1.541	1.832	1.506	2.268	1.941	0.908	0.246	52	281	0.624	168	109	229	125	0	1.488860085	0.574208184	0.195067728	0.379140456	2
41	4690	23580	110	835	852	157	362	392	126	100	95	0	950	985	254	284	294	100	100	98	0	0.71	0.699	0.705	0.794	0.45	0.576	0.591	80	511	-0.494	473	666	490	701	0	0.744993823	-0.424699631	-0.501609495	0.076909864	2
42	4870	23580	100	591	611	166	357	378	116	77	50	0	348	345	74	274	281	81	40	10	0	3.162	3.577	3.309	5.575	8.912	0.915	0.23	80	420	1.661	234	74	254	71	0	2.704368981	1.435292005	1.463874465	0.02858246	2
