1	CTRL001	1260	39760	565.90387	101.014709	546.359314	221.07576	183.166229	15600	40.400585	0.959133	0.9841	0.993881	2.559773	0.682606	336.701874	128.264709	297.086212	244.353104	192.321655	16100	40.400585	0.971694	0.990578	0.992905	1.377932	0.367448	1	1	1	1	1	0	1	1	1	1	1	0	1	464.889161	208.437165	0.028636078	0.011256861	0.4054963	2.543877604
2	CHIP0785	1520	39760	281.103088	90.911766	236.750641	164.424438	187.460449	9700	48.401451	0.955333	0.991814	0.995811	1.709619	0.455898	307.166656	135.691177	259.515137	277.965271	190.826248	13800	48.401451	0.968182	0.991943	0.993935	1.105054	0.294681	1	1	1	1	1	0	1	1	1	1	1	0	1	190.191322	171.475479	0.011715338	0.009260708	0.1021113	1.265058536
3	CHIP0801	1770	39770	279.214966	77.75	233.768631	172.196808	182.12056	10700	43.742191	0.944424	0.992973	0.995079	1.621487	0.432397	241.16806	133.279419	230.682449	262.381836	189.655014	11900	43.742191	0.966668	0.993889	0.993134	0.919149	0.245106	1	1	1	1	1	0	1	1	1	1	1	0	1	201.464966	107.888641	0.012409767	0.005826636	0.3283463	2.129834026
4	CHIP0817	2010	39770	322.544434	82.911766	242.165558	179.811737	184.033096	9000	34.682648	0.951103	0.992279	0.994423	1.79379	0.478344	281.661285	96.926468	241.895523	210.019348	189.150833	12400	34.682648	0.970726	0.992432	0.994087	1.341121	0.357632	1	1	1	1	1	0	1	1	1	1	1	0	1	239.632668	184.734817	0.014760808	0.009976792	0.1701193	1.47951447
5	CHIP2648	2270	39780	285.017395	65.147057	258.743195	131.316666	186.779999	11500	41.037273	0.952178	0.992615	0.996284	2.170459	0.578789	273.147064	114.544121	258.282715	174.381424	189.655014	13600	41.037273	0.967797	0.99276	0.995399	1.566377	0.417701	1	1	1	1	1	0	1	1	1	1	1	0	1	219.870338	158.602943	0.013543495	0.008565513	0.1989773	1.581165578
6	CHIP2672	2510	39780	441.701996	85.455879	456.153046	256.663391	190.492355	15100	31.202	0.966267	0.987236	0.993576	1.720939	0.458917	625.235596	175.852936	560.911987	263.407257	189.487106	19100	31.202	0.965844	0.983742	0.993225	2.373646	0.632972	1	1	1	1	1	0	1	1	1	1	1	0	1	356.246117	449.38266	0.021943922	0.024269368	-0.0437443	0.904181834
7	CHIP2666	2760	39780	322.49295	80.661766	297.313293	160.265976	187.290573	14200	31.202	0.965291	0.991386	0.995438	2.012236	0.536596	408.610748	137.470581	245.274963	213.694962	184.895889	14900	31.202	0.957949	0.993149	0.994453	1.912122	0.509899	1	1	1	1	1	0	1	1	1	1	1	0	1	241.831184	271.140167	0.014896231	0.014643201	0.0074403	1.017279732
8	CHIP2682	3010	39780	268.924255	95.911766	226.305161	192.477936	188.982483	13200	31.202	0.965757	0.992851	0.99308	1.397169	0.372578	349.442474	151.867645	296.150726	225.226913	184.378693	11300	31.202	0.9369	0.991905	0.994736	1.551513	0.413737	1	1	1	1	1	0	1	1	1	1	1	0	1	173.012489	197.574829	0.010657162	0.01067023	-0.0005323	0.998775287
9	CHIP2698	3270	39790	243.969238	90.147057	235.782227	170.375992	185.239883	13000	40.678455	0.949066	0.993347	0.99543	1.431946	0.381852	413.875824	125.470589	288.905182	190.254852	190.157852	15300	40.678455	0.971809	0.992004	0.994659	2.175376	0.5801	1	1	1	1	1	0	1	1	1	1	1	0	1	153.822181	288.405235	0.009475084	0.015575618	-0.2158623	0.608327955
10	CHIP2714	3530	39800	604.981262	84.779411	534.996704	195.76088	191.326019	16000	52.305912	0.96806	0.985847	0.993996	3.090409	0.803552	543.578674	191.117645	448.907196	274.037994	191.824478	17800	52.305912	0.979784	0.986732	0.993385	1.983589	0.528957	1	1	1	1	1	1	1	1	1	1	1	0	1	520.201851	352.461029	0.032043209	0.019035017	0.2261833	1.683382225
