1	0.10455635	145984	114749	67940	71100	C	C
2	-0.161079281	142376	206308	69204	61304	C	C
3	0.274761105	28932	15368	69204	73944	C	C
4	-0.093470413	30474	37792	66676	63516	C	C
5	0.103245549	17884	14100	67624	70152	C	C
6	-0.13748607	28503	39118	70468	68888	C	C
7	-0.33608274	41596	90185	70152	67308	C	C
8	-0.104023898	83087	105574	65728	63200	C	C
9	0.097764217	92369	73750	64464	64148	C	C
10	0.186621888	58983	38380	60672	62568	C	C
11	0.561950759	83118	22790	65412	65412	C	C
12	-0.023673024	41912	44260	64780	57196	C	C
13	-0.023809651	61894	65382	60040	67624	C	C
14	-0.188867425	48043	74216	62884	67624	C	C
15	-0.180918238	43484	65955	59092	60040	C	C
16	-0.18936453	12094	18704	61304	73944	C	C
17	0.028379494	31048	29084	61620	54984	C	C
18	0.108697597	14154	11020	57196	67940	C	C
19	-0.081610705	48933	59049	57828	62884	C	C
20	0.046901441	20739	18616	55616	60356	C	C
21	-0.148228307	18801	26449	55616	69520	C	C
22	null	null	null	58460	67940	Y	C
23	0.404749813	33745	13288	55616	65096	C	C
24	-0.062003221	15411	17776	54984	62884	C	C
25	0.465879964	45420	15537	51192	62568	C	C
26	0.124083962	52450	39415	52772	63516	C	C
27	-0.434381763	21983	59768	52456	58776	C	C
28	0.180187863	94478	62394	53404	58460	C	C
29	-0.308464831	8166	16614	54352	62252	C	C
30	0.22163109	58514	35126	52456	55616	C	C
31	-0.21940929	6677	11066	53404	57196	C	C
32	0.388367862	93604	38276	51192	70468	C	C
33	0.21537592	53055	32311	51508	58144	C	C
34	-0.16151487	18249	26470	52772	64148	C	C
35	0.01279872	27858	27049	49612	56880	C	C
36	0.543505952	149795	42854	50244	57196	C	C
37	0.193365075	12284	7870	51508	60040	C	C
38	-0.382940623	23925	57782	50876	54352	C	C
39	-0.375855713	6305	14981	53088	61936	C	C
40	0.373575596	171442	72534	54668	59408	C	C
41	0.423962564	64650	24356	52140	63516	C	C
42	0.401297219	80190	31829	52456	60672	C	C
43	0.625054391	55789	13228	49928	63832	C	C
44	0.368253208	25146	10770	48664	61936	C	C
45	-0.10147284	27382	34589	53404	63200	C	C
46	0.524078642	267000	79879	50244	63200	C	C
47	0.194468688	52555	33585	49928	53088	C	C
48	0.451681587	55415	19586	49296	54036	C	C
49	-0.094137456	11597	14404	48032	55932	C	C
50	0.490853695	50923	16446	48348	59724	C	C
51	0.36894398	35962	15378	50876	59092	C	C
52	-0.059140736	13922	15953	49296	59724	C	C
53	0.07265438	167519	141713	51824	51192	C	C
54	0.105983304	22938	17971	53720	56564	C	C
55	-0.197052736	10563	16628	50244	54352	C	C
56	0.355956671	21843	9624	48980	58144	C	C
57	0.286200548	31351	16220	50244	59092	C	C
58	-0.30174044	7635	15295	50560	67308	C	C
59	0.021767964	41606	39572	50876	62884	C	C
60	-0.301198327	10318	20644	53088	60356	C	C
61	-0.151176123	24279	34388	49296	51824	C	C
62	-0.290940959	15612	30507	52456	56248	C	C
63	0.232842087	16323	9549	54668	58776	C	C
64	-0.349556011	23385	52299	57512	50876	C	C
65	0.353658043	121471	53804	54036	58776	C	C
66	-0.15613379	54675	78329	51824	52456	C	C
67	-0.133787976	27532	37465	52772	60356	C	C
68	-0.069713478	42516	49919	54352	53088	C	C
69	0.169086357	43173	29250	55300	56564	C	C
70	-0.19168265	39459	61352	59724	63200	C	C
71	0.046508266	49855	44792	56248	58144	C	C
72	-0.165183954	27390	40066	55932	58460	C	C
73	-0.335087169	55255	119525	59408	55932	C	C
74	0.050958806	28578	25414	59408	52140	C	C
75	0.193532075	12156	7785	64148	59408	C	C
