1.1.1.1		2693.267176	1158.236697	131	545	352818	631239	408.9090088	347.7041885	180.6827586	193.3352166	145	531	26199	102661	96.61303571	106.0720568
1.1.1.2	0.71385684	3006.974684	1212.969388	79	588	237551	713226	694.4146059	311.8153601	247.5666667	183.0617886	60	615	14854	112583	118.2938948	96.81174131
1.1.1.3	1.359991512	2199.205882	986.1338983	102	590	224319	581819	592.9314899	272.3726648	215.6818182	172.8175896	88	614	18980	106110	120.5985588	101.5270023
1.1.1.4	1.123764819	2416.201258	886.345776	159	509	384176	451150	651.3230635	253.0630552	155.1103448	167.2770398	145	527	22491	88155	89.62474391	105.4252935
1.1.1.5		2539.086614	912.7336152	127	473	322464	431723	776.956165	253.7359935	149.1363636	151.7201566	88	511	13124	77529	81.74964301	88.10240197
1.1.1.6	0.653982184	2617.313433	1095.336192	67	583	175360	638581	579.310996	305.9484203	152.8444444	160.4628099	45	605	6878	97080	68.32535093	103.9433763
1.1.1.7	0.375640741	3064.31746	1293.230263	63	608	193052	786284	720.1692664	335.1887669	241.8666667	170.3544715	60	615	14512	104768	132.8965094	99.35994126
1.1.1.8		1819.222222	998.007326	90	546	163730	544912	337.9815175	281.4840381	206.3181818	155.2982143	88	560	18156	86967	108.3856273	88.74078622
1.1.1.9	1.209026519	2021.595506	806.7891892	89	555	179922	447768	577.7539564	231.5873012	239.4090909	146.6910714	88	560	21068	82147	107.7535737	88.73559798
1.1.1.10		2125.819277	839.9446494	83	542	176443	455250	563.9111727	264.287437	224.6833333	164.1693405	60	561	13481	92099	81.72157848	95.10996462
1.1.1.11	0.49332305	2111.516129	811.3391608	124	572	261828	464086	544.6597559	256.12525	232.412844	176.1607445	109	591	25333	104111	121.029772	98.30445585
1.1.1.12		2086.366972	836.9101563	109	512	227414	428498	578.995455	241.2477164	258.5113636	182.2960894	88	537	22749	97893	131.4242777	103.18301
1.1.1.13		2242.011364	827.3333333	88	612	197297	506328	514.700056	253.3886743	223.7536232	171.4643423	69	631	15439	108194	89.66433472	97.00284234
1.1.1.14	0.411498051	2098.149425	829.0766488	87	561	182539	465112	502.1943006	260.8020801	245.816092	192.3053571	87	560	21386	107691	142.1145344	108.8781657
1.1.1.15	0.152267164	2544.114035	872.8806262	114	511	290029	446042	651.5886895	268.9265889	224.2386364	225.8603352	88	537	19733	121287	128.1172221	200.0659413
1.1.1.16		1939.55	764.5900178	60	561	116373	428935	429.7611129	230.9395354	193.1666667	195.3048128	60	561	11590	109566	81.40416997	107.19505
1.1.1.17	0.194862248	2065.969697	819.1311475	99	549	204531	449703	360.5058582	233.771028	196.1818182	200.9446429	88	560	17264	112529	93.62006698	100.5835233
1.1.1.18		2024.094118	976.3897959	85	490	172048	478431	348.5329463	283.1260286	227.8068182	187.6919918	88	487	20047	91406	93.37690706	97.44971639
1.1.2.1	0.133041471	2835.811881	1321.355769	101	624	286417	824526	496.9215272	350.5667139	239.7954545	206.1428571	88	637	21102	131313	118.9708863	121.9405496
1.1.2.2	0.571921089	2898.674157	1311.575856	89	613	257982	803996	548.5790178	289.8581408	216	201.3791469	69	633	14904	127473	101.0676341	109.3385614
1.1.2.3	2.838143174	2869.415493	1184.55336	142	506	407457	599384	483.2068382	346.4145118	230.7552448	176.0496032	143	504	32998	88729	138.8276195	104.9797388
1.1.2.4	0.197563218	2921.821782	1043.71777	101	574	295104	599094	627.4154181	341.0114395	212.1818182	187.5809199	88	587	18672	110110	127.0024647	121.9212393
1.1.2.5		3118.214286	1031.581081	56	592	174620	610696	663.7310857	291.0482224	219.8	172.6650083	45	603	9891	104117	107.287485	99.76081122
1.1.2.6		3105.990291	1160.568015	103	544	319917	631349	660.0227047	366.7251121	156.3068182	162.8193202	88	559	13755	91016	84.42335927	94.83318139
1.1.2.7		2649.793893	1282.920233	131	514	347123	659421	581.9587446	284.8326416	177.9791667	175.239604	144	505	25629	88496	87.41833242	103.3382029
1.1.2.8	-0.957745626	2082.844156	1019.488599	77	614	160379	625966	513.7110984	281.4390065	214.2988506	161.8666667	87	615	18644	99548	115.0640117	93.3166222
1.1.2.9	0.613059065	2667.315789	1033.635161	95	529	253395	546793	611.5238991	298.6857368	183.8115942	170.3171171	69	555	12683	94526	105.0804075	95.17396293
1.1.2.10		2899.881579	1048.786972	76	568	220391	595711	580.6392114	354.455641	284.826087	185.0504348	69	575	19653	106404	121.079559	105.1770147
1.1.2.11		2647.690722	1087.645329	97	578	256826	628659	460.318365	323.2868831	188.0681818	236.078534	88	573	16550	135273	93.47457061	138.6862786
1.1.2.12		2462.252747	1196.272381	91	525	224065	628043	356.1237775	373.8295156	522.1954023	401.4157509	87	546	45431	219173	218.6982826	294.7053431
1.1.2.13	0.692444612	2574.235294	1124.683775	68	604	175048	679309	380.4801965	330.9800833	236.5333333	223.6013072	60	612	14192	136844	125.282942	121.0180854
1.1.2.14		2522.5625	1031.69391	64	624	161444	643777	452.8469966	295.9630698	197.0222222	200.6785162	45	647	8866	129839	61.46814492	98.06020555
1.1.2.15	1.170320018	2424.348148	1140.036893	135	515	327287	587119	486.3025322	282.3468785	222.9516129	204.0361217	124	526	27646	107323	107.1047012	111.2649897
1.1.2.16	0.003947631	2440.465909	1078.385338	88	532	214761	573701	411.406124	354.7272011	204.0454545	201.2716981	88	530	17956	106674	93.80127799	102.1725961
1.1.2.17	-0.070263641	2469.794521	1126.998141	73	538	180295	606325	376.9061494	337.5040713	230.6	232.5779817	60	545	13836	126755	108.1750433	123.1171214
