1005835_1		5.2479275134	6.5698556083	
1005835_2		5.0874628413	6.2854022189	
1005836_3		5.0874628413	5.9068905956	
1005857_1	-0.26	6.7681843248	7.4676055501	-0.15978925
1005858_1	0.032	7.0660891905	8.0168082877	0.0695954023
1005859_1	0.013	6.3037807482	7.3487281542	0.1693233771
1005860_1	2.52	7.5999128422	10.743151394	2.4724582058
1005861_1	-0.3	8.9307373376	9.2877123795	-0.347082775
1005862_1	0.297	7.0334230015	7.6794800995	0.3622316966
1005863_1	0.194	7.5077946402	8.4429434958	0.1877645041
1005864_1	-0.03	9	9.6293566201	-0.085897116
1005865_1	-0.85	9.7073591321	9.4998458871	-0.903924028
1005866_1		6.2288186905	7.4676055501	
1005867_1	-0.74	7.2191685205	7.4262647547	-0.672850763
1005868_1		7.0334230015	8.2714630279	
1005869_1	-0.36	6.4918530963	7.2573878427	-0.212149322
1005870_1	-0.28	6.2479275134	7.1898245589	-0.103940853
1005871_1	-0.11	10.550746785	11.046441948	-0.170723342
1005872_1	0.5	7.7414669864	8.971543554	0.4737329342
1005873_1	-0.05	12.95419631	13.463779785	-0.138401788
1005874_1	-0.11	8.5156998383	9.113742166	-0.152244125
1005875_1	-0.46	10.795227966	10.948367232	-0.520350274
1005876_1	0.219	7.5156998383	8.5196362528	0.2108426466
1005877_1		7.0552824355	7.9483672316	
1005878_1	0.044	7.022367813	7.9829935747	0.086933244
1005879_1		6.7681843248	7.9829935747	
1005880_1	-0.23	6.4594316186	8.0552824355	-0.152671369
1005881_1	-0.18	6.8703647196	7.6293566201	-0.100408046
1005882_1	-0.09	6.2667865407	7.3398500029	0.0745502843
1005883_1	0.056	9.1699250014	9.861086906	0.0030565584
1005884_1	1.055	8.7714894695	10.449148645	1.0010790351
1005885_1	-0.06	11.216745858	11.73978061	-0.131950974
1005886_1	0.182	6.3037807482	7.5622424242	0.3192188076
1005887_1	-0.52	9.7004397181	9.8153832958	-0.570521684
1005888_1	-0.02	6.4093909361	7.5077946402	0.1141232098
1005889_1		6.2479275134	7.3309168781	
1005890_1	0.095	7.4676055501	8.3706874068	0.0920187488
1005891_1	-0.09	5.8579809951	7.022367813	0.138513343
1005892_1	0.181	9.1749256825	10.001408194	0.1267805097
1005893_1	0.394	7.5622424242	8.2900188469	0.390819297
1005894_1	0.112	8.479780264	9.2969162069	0.070784641
1005895_1	-0.46	12.38100211	12.491352074	-0.542238668
1005896_1	-0.7	8.4304525517	8.5196362528	-0.734180887
1005897_1		6.5999128422	7.5849625007	
1005898_1	0.058	6.7414669864	7.8073549221	0.1365676987
1005899_1	-0.37	6.9657842847	8.113742166	-0.329031965
1005900_1	-0.22	9.3619437737	9.7911628886	-0.276837888
1005901_1	0.045	6.3398500029	7.4998458871	0.1845125377
1005902_1	0.047	8.4838157773	9.2264121928	0.006196266
1005903_1	1.247	8.7481928496	10.612868497	1.192118243
1005904_1	0.089	7.2479275134	8.2045711442	0.1069734605
1005905_1	0.228	8.9158793788	9.7714894695	0.1768194985
1005906_1	-0.23	7.8008998999	8.3750394313	-0.242965499
1005907_1		6	7.3219280949	
1005908_1	0.06	6.7279204546	7.7681843248	0.1422938825
1005909_1	0.04	9.1472049249	9.8169836233	-0.01317767
1005910_1	0.281	9.2021238238	10.120237877	0.2271421127
1005911_1	-0.34	8.6147098441	8.6759570329	-0.377814338
1005912_1	-0.41	9.82336724	10.052568051	-0.465080469
1005913_1	-0.06	10.811374694	11.3392933	-0.129135011
1005914_1	0.081	7.1395513524	8.098032083	0.1100535455
1005915_1	0.168	10.216745858	10.982993575	0.1055013811
1005916_1	0.689	7.4008794363	8.8360503551	0.675182524
1005917_1	0.038	7	7.8948177633	0.089108015
1005918_1	-1.1	6.022367813	7.3037807482	-0.914979811
