1.1.1.1		956.3916667	454.8202479	120	484	114767	220133	339.0181975	219.3937334	747.5950413	371.5979381	121	485	90459	180225	306.2803928	241.3745885	
1.1.1.2	-0.833841	1049.076923	463.2998267	52	577	54552	267324	294.3561975	241.0907591	895.1774194	410.9089347	62	582	55501	239149	301.4544594	269.7750309	0.833841098
1.1.1.3	-0.00914526	1684.987805	413.3599222	82	514	138169	212467	571.0609615	233.0454792	1309.468354	407.0442308	79	520	103448	211663	561.4561727	268.9841502	0.009145258
1.1.1.4	0.222572	1521.311828	494.8807531	93	478	141482	236553	446.1780824	277.2648395	996.6296296	401.2822222	81	450	80727	180577	246.7221882	234.1556138	-0.222571718
1.1.1.5	-0.241739	1429.278689	472.7649186	122	553	174372	261439	454.4175386	251.682826	1236.958333	448.8716094	72	553	89061	248226	447.4982135	270.6818391	0.241739036
1.1.1.6	0.42511	2877.658537	402.6519337	82	543	235968	218640	1086.190773	224.9756656	1880.405797	382.3489209	69	556	129748	212586	638.0259256	268.6561156	-0.425110176
1.1.1.7	-0.858734	6595.876404	455.0176125	89	511	587033	232514	2634.836318	273.5188286	9488.790698	386.2003891	86	514	816036	198507	3919.060602	283.8691756	0.858733742
1.1.1.8	-1.14754	754.0340909	471.9122563	88	718	66355	338833	350.8956543	258.3538079	535.7159091	392.2883008	88	718	47143	281663	317.6216284	263.3851077	1.147541099
1.1.1.9	0.339024	2187.272727	456.866548	88	562	192480	256759	611.9711395	253.3996007	1410.863014	409.7623239	73	568	102993	232745	402.0529957	255.0213085	-0.339023605
1.1.1.10	-0.333393	5724.635417	458.4692029	96	552	549565	253075	2335.380568	247.886426	5785.755556	421.1129032	90	558	520718	234981	2237.235925	291.9533089	0.333392504
1.1.1.11	0.0748359	2731.557692	434.7580645	104	496	284082	215640	776.8398116	244.7007594	2227.197802	454.9056974	91	509	202675	231547	568.8150826	271.2072388	-0.074835938
1.1.1.12	0.290251	1874.736264	397.5026834	91	559	170601	222204	518.2694542	231.3935992	1291.449438	432.925859	89	553	114939	239408	429.9973873	244.0158814	-0.290250863
1.1.1.13	-0.493328	1039.121622	433.8383459	74	532	76895	230802	350.6917085	228.8506839	801.5652174	463.2547332	69	581	55308	269151	355.2697884	288.5787665	0.493327507
1.1.1.14	-0.696599	14152.46729	442.2606285	107	541	1514314	239263	7164.075109	260.0262757	18680.94949	502.6429872	99	549	1849414	275951	8523.875648	314.4534914	0.696598647
1.1.1.15	-0.131823	6204.906977	745.5423387	129	496	800433	369789	1968.296822	484.1513466	5528.442478	703.7773438	113	512	624714	360334	1531.204829	450.495926	0.131823206
1.1.1.16	-0.0821665	1392.444444	829.4537037	45	648	62660	537486	489.0959259	578.3184044	946.4444444	756.7701318	45	683	42590	516874	286.1976439	363.7291176	0.082166495
1.1.1.17	-0.764479	1224.329545	761.9017341	88	519	107741	395427	374.2875269	560.0649425	928.8295455	670.1114923	88	583	81737	390675	364.6486236	435.0391512	0.764478945
1.1.1.18		1092.92	404.8673267	100	505	109292	204458	341.1413689	221.8028476	1446.938272	545.4123134	81	536	117202	292341	594.5026419	311.9535936	
1.1.2.1	-0.790441	5406.037594	546.4161074	133	596	719003	325664	1908.983402	331.6119184	7225.671756	427.7056856	131	598	946563	255768	2681.940916	296.1827099	0.790440555
1.1.2.2	-0.551622	1403.973333	501.8402154	75	557	105298	279525	396.9406328	249.9930153	1321.666667	395.6872792	84	566	111020	223959	466.1180449	238.1463147	0.551621977
1.1.2.3	0.12625	5726.81761	498.1899225	159	516	910564	257066	2057.140141	324.6796316	4180.426752	380.8223938	157	518	656327	197266	1796.596447	287.4525163	-0.126249739
1.1.2.4	-0.22969	2089.162393	421.4540338	117	533	244432	224635	650.5969902	241.2698587	1911.650485	371.702011	103	547	196900	203321	650.0793336	237.380211	0.229690195
1.1.2.5	0.470586	5420.625	442.6596958	72	526	390285	232839	2033.30656	297.4934069	3212.079365	420.7028037	63	535	202361	225076	959.3397581	294.7350331	-0.470585864
1.1.2.6	-0.392484	1242.064516	367.6876122	93	557	115512	204802	419.8717112	221.1267525	1115.821053	321.8568807	95	545	106003	175412	443.4995752	215.7471202	0.392484219
1.1.2.7	0.310499	2918.286885	489.0831826	122	553	356031	270463	925.946724	304.6665036	1968.351563	374.9744059	128	547	251949	205111	743.6352179	236.5349561	-0.310498927
1.1.2.8	-3.15533	597.1449275	469.373494	69	581	41203	272706	314.3873857	272.2655379	611.9565217	379.5938038	69	581	42225	220544	351.6608394	247.7061378	3.155328395
1.1.2.9	-0.895842	1000.707317	373.4193548	82	558	82058	208368	315.9821887	196.48685	1078.520548	381.627866	73	567	78732	216383	376.3919594	224.5771432	0.895841535
1.1.2.10	-0.325702	938.1621622	390.359292	74	565	69424	220553	304.0244046	210.8044351	624.2159091	392.8142857	88	560	54931	219976	282.260214	247.1615459	0.325702036
1.1.2.11	0.221257	1133.953488	417.4732143	86	560	97520	233785	389.1418976	204.6531369	687.6931818	465.0391459	88	562	60517	261352	389.3468411	267.142228	-0.221256513
1.1.2.12	-0.314262	917.5	386.8257956	66	597	60555	230935	257.339491	200.6305716	646.2608696	432.4224422	69	606	44592	262048	290.8487655	268.2233622	0.314261956
1.1.2.13	0.386055	2871.746479	417.6164818	71	631	203894	263516	632.9607094	258.2315856	1955	428.3577107	69	629	134895	269437	578.6902002	259.5520861	-0.386054948
1.1.2.14	0.244796	767.1833333	406.9447154	60	615	46031	250271	392.0112027	222.6277221	497.5333333	446.6585366	60	615	29852	274695	236.2495479	245.7266387	-0.244795857
