1	-0.9159	0.53
2	-1.8890	0.27
3	0.0286	1.02
4	0.1375	1.10
5	0.6960	1.62
6	2.0600	4.17
7	0.4647	1.38
8	0.5361	1.45
9	-2.6439	0.16
10	-2.0000	0.25
11		
12	-2.3219	0.20
13	-2.2515	0.21
14	-1.1844	0.44
15	-0.8110	0.57
16	-0.6666	0.63
17	-3.3219	0.10
18	-4.3219	0.05
19	-2.5564	0.17
20	-3.4739	0.09
21	-5.0589	0.03
22	-1.5146	0.35
23	-3.6439	0.08
24	-2.6439	0.16
25	1.0215	2.03
26	0.2630	1.20
27	0.5460	1.46
28	-2.0589	0.24
29	-1.8890	0.27
30	1.2079	2.31
31	1.0496	2.07
32	1.2987	2.46
33	1.2016	2.30
34	0.8237	1.77
35	1.9635	3.90
36	3.2126	9.27
37	-2.5564	0.17
38	0.2750	1.21
39	1.6645	3.17
40	-2.1203	0.23
41	-4.6439	0.04
42	-4.6439	0.04
43	-4.0589	0.06
44	-3.0589	0.12
45	-5.0589	0.03
46	-2.9434	0.13
47	-0.3040	0.81
48	-1.0000	0.50
49	0.4005	1.32
50	0.4647	1.38
51	1.4060	2.65
52	2.1859	4.55
53	-1.1203	0.46
54	2.5185	5.73
55	-0.8365	0.56
56	1.8440	3.59
57	-0.6897	0.62
58	-0.5778	0.67
59	0.1763	1.13
60	-0.1844	0.88
61	1.8074	3.50
62	-1.3219	0.40
63	-4.6439	0.04
64	-3.3219	0.10
65	-3.3219	0.10
66	-4.6439	0.04
67	-2.1844	0.22
68	-1.0893	0.47
69	0.8953	1.86
70	-3.8365	0.07
71	-4.3219	0.05
72	5.4864	44.83
73		
74	-2.8365	0.14
75	-2.0000	0.25
76	-2.0589	0.24
77	-2.1203	0.23
78	-1.6439	0.32
79	-4.0589	0.06
80	-1.1203	0.46
81	-3.1844	0.11
82	-5.6439	0.02
83	-4.6439	0.04
84	-2.9434	0.13
85		
86	-5.0589	0.03
87	-5.0589	0.03
88	-4.3219	0.05
89	-4.6439	0.04
90	-3.1844	0.11
91	-4.0589	0.06
92	-5.6439	0.02
93	-4.0589	0.06
94	-5.6439	0.02
95	-4.6439	0.04
