B0001	2.428389937	1.2800001	0.5377732	0.05410684	1.56	0.66	1.62
B0017	1.125058453	0.16999996	1.8408965	0.88761586	2.09	0	-1.58
B0024	-1.46747237	-0.55333334	0.16289057	0.02769234	-0.44	-0.48	-0.74
B0025	-1.16473357	-0.21999998	0.010000005	6.88E-04	-0.21	-0.23	-0.22
B0026	-1.819236746	-0.8633333	0.18556218	0.015052474	-0.88	-0.67	-1.04
B0027	-1.844632472	-0.8833334	0.4775284	0.08515657	-0.94	-0.38	-1.33
B0033	1.154018746	0.20666666	1.1787423	0.79005355	0.53	1.19	-1.1
B0034	1.494849249	0.58	0.54064775	0.20425905	0.77	1	-0.03
B0035	1.018655809	0.026666665	0.046188023	0.42264974	0	0.08	0
B0042	1.990779367	0.99333334	0.61614394	0.10788839	0.4	0.95	1.63
B0043	1.464085696	0.55	0.29103264	0.0820149	0.33	0.44	0.88
B0044	-1.02811382	-0.03999999	0.51117516	0.90459955	-0.32	0.55	-0.35
B0057	2.372925325	1.2466667	0.5394751	0.057123553	0.65	1.39	1.7
B0059	-1.48795748	-0.5733333	0.9375677	0.40054035	-0.75	0.44	-1.41
B0069	2.340256398	1.2266666	1.0094718	0.16997033	0.33	2.32	1.03
B0070	5.802467754	2.5366666	0.4266537	0.009298491	2.58	2.94	2.09
B0076	1.848899363	0.8866667	1.4269664	0.3944057	-0.21	0.37	2.5
B0077	1.231144396	0.29999998	0.21166012	0.13349308	0.06	0.46	0.38
B0078	1.162045598	0.21666668	0.29399547	0.3299681	-0.11	0.3	0.46
B0079	1.203025047	0.26666668	1.1377757	0.724092	-0.36	1.58	-0.42
B0080	-1.032875718	-0.04666667	0.69980955	0.9185991	-0.28	0.74	-0.6
B0086	-1.41094981	-0.49666667	0.73357576	0.36168972	-1.07	0.33	-0.75
B0087	-1.551144726	-0.6333333	0.31501323	0.07349036	-0.63	-0.32	-0.95
B0088	-1.104453998	-0.14333333	0.2746513	0.46144712	0.08	-0.06	-0.45
B0089	5.314743256	2.41	5.032167	0.49405798	8.22	-0.42	-0.57
B0105	1.071773463	0.1	0.10816654	0.2504683	0.01	0.07	0.22
B0106	1.547564929	0.62999994	0.36345562	0.09534164	0.32	1.03	0.54
B0107	7.464263415	2.8999999	0.815046	0.025333509	2.56	3.83	2.31
B0108	2.549121255	1.35	0.89370024	0.12028625	2.14	1.53	0.38
B0114	1.620755715	0.69666666	0.5105226	0.14187732	0.11	0.94	1.04
B0115	4.745850649	2.2466667	2.3165565	0.23501006	0.99	4.92	0.83
B0116	1.674039234	0.74333334	0.23007247	0.030480605	0.75	0.97	0.51
B0117	4.316912946	2.11	1.3817381	0.11814232	2.19	0.69	3.45
B0123	1.289370285	0.36666664	0.8326063	0.52528846	1.28	-0.35	0.17
B0124	5.527650881	2.4666665	1.403365	0.093075976	1.16	2.29	3.95
B0125	-1.109569464	-0.14999999	0.39153543	0.5752259	0.26	-0.19	-0.52
B0126	1.175547904	0.23333333	0.06658328	0.026085485	0.16	0.29	0.25
B0132	1.074252646	0.10333333	0.8187999	0.84724987	0.63	-0.84	0.52
B0133	1.501772876	0.58666664	0.3453018	0.098679475	0.75	0.82	0.19
B0134	1.064370182	0.09	0.385746	0.72524685	-0.35	0.37	0.25
B0135	1.443929196	0.53	0.8906178	0.41100204	1.51	-0.23	0.31
B0136	5.869890131	2.5533335	1.5842139	0.107938334	1.32	2	4.34
B0137	1.028113827	0.04	0.045825757	0.26970327	0.05	-0.01	0.08
B0138	1	0	0	NaN	0	0	0
B0139	2.445280725	1.2900001	2.1358604	0.4053068	-0.88	3.39	1.36
B0140	1.066832243	0.093333334	0.9250044	0.87735564	1.02	-0.83	0.09
B0141	1.887748669	0.9166667	1.1234916	0.29314786	0.58	2.17	0
B0142	-1.62075576	-0.6966667	0.5839806	0.17477636	-0.55	-0.2	-1.34
B0143	-1.328685814	-0.41	0.5047772	0.29474378	-0.75	0.17	-0.65
B0149	1.172834949	0.23	0.43485633	0.456322	0.02	0.73	-0.06
B0150	1.101905108	0.13999999	1.6434416	0.8962308	-1.21	-0.34	1.97
B0151	1.089248657	0.123333335	0.85658234	0.826337	-0.43	-0.31	1.11
B0152	1.089248631	0.1233333	2.292604	0.93425596	-1.58	-0.78	2.73
B0158	1.259921003	0.33333328	0.63319296	0.45812	0.04	1.06	-0.1
B0159	-1.016304931	-0.023333332	0.22030282	0.87135917	-0.17	0.23	-0.13
B0160	1.685683086	0.75333333	0.4454586	0.0994658	0.32	1.21	0.73
B0161	-2.153475186	-1.1066667	0.63002646	0.09318045	-0.48	-1.1	-1.74
B0164	4.316912946	2.11	0.5129328	0.019134996	2.7	1.86	1.77
B0165	4.367073462	2.1266668	2.554395	0.2860425	1.42	4.96	0
B0167	-1.03049202	-0.043333333	0.41476902	0.8730786	-0.5	0.31	0.06
B0168	1.274560627	0.35	0.6255398	0.4347236	-0.37	0.76	0.66
B0169	1.109569464	0.14999999	0.10535653	0.1325276	0.14	0.26	0.05
B0170	-1.325619445	-0.40666667	0.2706166	0.12132385	-0.47	-0.64	-0.11
B0171	1.016304931	0.023333332	0.21594754	0.8688089	-0.18	0.25	0
B0172	1	0	0.5370289	1	-0.62	0.32	0.3
B0176	1.366040219	0.44999996	0.255147	0.09252797	0.2	0.71	0.44
B0177	1.580082624	0.66	0.7534587	0.26850063	0.23	0.22	1.53
B0178	1.057018026	0.07999998	0.9681425	0.89931065	-0.68	-0.25	1.17
B0179	1.076737563	0.10666666	0.35837597	0.657514	-0.22	0.05	0.49
B0180	-1.101905116	-0.14	0.19157244	0.33308125	-0.27	-0.23	0.08
B0181	-1.069299994	-0.09666666	0.2857155	0.61719304	-0.22	-0.3	0.23
B0185	-1.107008776	-0.14666666	0.17559424	0.28490728	-0.33	0.02	-0.13
B0186	1.02337389	0.03333333	0.12503333	0.6896146	-0.09	0.03	0.16
B0187	1.236846676	0.30666667	0.4336281	0.34529105	0.5	0.61	-0.19
B0188	-1.362887642	-0.44666663	0.7043673	0.38661045	0.36	-0.76	-0.94
B0189	1.004631673	0.006666665	0.11015141	0.9260779	-0.1	0	0.12
B0190	1.122462051	0.16666667	0.84334654	0.7647521	1.07	0.03	-0.6
B0193	1.605845838	0.6833334	1.8404437	0.5860562	2.5	0.73	-1.18
B0194	1.407693552	0.4933333	1.810672	0.6834657	2.54	-0.16	-0.9
B0195	-1.028113829	-0.040000003	0.7285602	0.93290955	0.42	0.34	-0.88
B0196	1.407693591	0.49333334	0.37072003	0.14764982	0.52	0.85	0.11
B0197	2.79593961	1.4833332	1.0848656	0.14143366	0.31	1.69	2.45
B0198	2.626849233	1.3933334	0.5877357	0.05450671	1.1	1.01	2.07
B0199	8.263004194	3.0466664	3.094662	0.23027644	6.62	1.24	1.28
B0200	-1.186462638	-0.24666667	0.5462905	0.5160607	0.32	-0.29	-0.77
B0213	-1.004631677	-0.00666667	0.28005955	0.970858	-0.33	0.15	0.16
B0217	1.122462051	0.16666667	0.7637626	0.7418011	-0.5	1	0
B0218	9.063071082	3.18	2.0206683	0.11235725	1.19	5.23	3.12
