97	0.000	1.0000	CHIP5399	-24	10	XY	5	1
98	0.062	1.1546	CHIP5430	-48	32	X	5	2
99	0.000	1.0000	CHIP5400	16	-14	XY	5	3
100	0.074	1.1855	CHIP5431	102	86	-	5	4
101	0.013	1.0315	CHIP0121	208	201	-	5	5
102	0.227	1.6867	CHIP0153	9837	5832	-	5	6
103	0.060	1.1490	CHIP0266	563	490	-	5	7
104	1.290	19.5132	CHIP0203	6916	354	-	5	8
105	-0.610	0.2457	CHIP0267	2497	10163	-	5	9
106	0.379	2.3956	CHIP0212	28119	11738	-	5	10
107	0.306	2.0247	CHIP0252	928	459	-	5	11
108	0.185	1.5319	CHIP0284	299	195	-	5	12
109	0.056	1.1385	CHIP0310	662	581	-	5	13
110	2.107	127.8556	CHIP0350	53416	418	-	5	14
111	-0.183	0.6559	CHIP0382	2988	4556	-	5	15
112	0.169	1.4767	CHIP0351	905	613	-	5	16
113	-0.068	0.8548	CHIP0383	522	611	-	5	17
114	-0.253	0.5585	CHIP0328	447	800	-	5	18
115	-0.602	0.2503	CHIP0424	238	951	-	6	0
116	-0.136	0.7316	CHIP0464	1569	2145	-	6	1
117	0.086	1.2196	CHIP0585	2216	1817	-	6	2
118	0.530	3.3917	CHIP0625	4061	1197	-	6	3
119	-0.948	0.1128	CHIP0657	320	2839	-	6	4
120	0.028	1.0655	CHIP0602	1711	1606	-	6	5
121	-0.370	0.4268	CHIP0491	2675	6268	-	6	6
122	0.085	1.2159	CHIP0555	505	416	-	6	7
123	0.399	2.5036	CHIP0508	884	353	-	6	8
124	0.143	1.3894	CHIP0556	1016	731	-	6	9
125	0.238	1.7289	CHIP0509	938	542	-	6	10
126	0.109	1.2842	CHIP0541	518	403	-	6	11
127	0.052	1.1283	CHIP0678	16847	14931	-	6	12
128	0.070	1.1737	CHIP0726	733	625	-	6	13
129	-0.006	0.9855	CHIP0758	616	625	-	6	14
130	0.185	1.5301	CHIP0703	7821	5111	-	6	15
131	0.324	2.1096	CHIP0743	383	181	-	6	16
132	0.498	3.1469	CHIP0688	10682	3395	-	6	17
133	0.069	1.1722	CHIP0839	2999	2558	-	6	18
134	0.193	1.5602	CHIP0776	388	249	-	7	0
135	-0.362	0.4347	CHIP0808	1555	3577	-	7	1
136	0.684	4.8295	CHIP0865	1278	265	-	7	2
137	0.139	1.3774	CHIP0897	2572	1867	-	7	3
138	-0.122	0.7550	CHIP0929	1182	1566	-	7	4
139	0.069	1.1714	CHIP1042	982	838	-	7	5
140	-0.695	0.2019	CHIP0987	780	3863	-	7	6
141	0.112	1.2947	CHIP1035	4447	3435	-	7	7
142	-0.143	0.7200	CHIP0981	101	140	-	7	8
143	-0.347	0.4499	CHIP0998	345	767	-	7	9
144	-0.144	0.7177	CHIP1046	597	832	-	7	10
145	0.219	1.6540	CHIP1155	683	413	-	7	11
146	0.117	1.3096	CHIP1187	751	574	-	7	12
147	0.463	2.9059	CHIP1228	665	229	-	7	13
148	-0.459	0.3475	CHIP1260	648	1865	-	7	14
149	-0.095	0.8040	CHIP1300	204	254	-	7	15
150	0.030	1.0722	CHIP1237	493	459	-	7	16
151	0.276	1.8884	CHIP1307	2163	1145	-	7	17
152	-0.468	0.3405	CHIP1340	412	1209	-	7	18
153	-0.023	0.9478	CHIP1380	425	448	-	8	0
154	0.068	1.1694	CHIP1317	971	830	-	8	1
155	0.245	1.7597	CHIP1349	1167	663	-	8	2
156	0.217	1.6490	CHIP1389	3790	2298	-	8	3
157	0.083	1.2101	CHIP1501	956	790	-	8	4
158	0.117	1.3102	CHIP1438	824	629	-	8	5
159	0.279	1.8998	CHIP1470	794	418	-	8	6
160	0.123	1.3260	CHIP1415	1999	1508	-	8	7
161	-0.012	0.9728	CHIP1455	919	944	-	8	8
162	0.236	1.7226	CHIP1495	366	213	-	8	9
163	0.044	1.1063	CHIP1535	1438	1300	-	8	10
164	0.223	1.6700	CHIP1567	596	357	-	8	11
165	-0.917	0.1210	CHIP1599	502	4146	-	8	12
166	-0.011	0.9739	CHIP1544	595	611	-	8	13
167	0.105	1.2735	CHIP1513	790	620	-	8	14
168	-0.172	0.6725	CHIP1553	1146	1705	-	8	15
169	0.106	1.2751	CHIP1632	390	306	-	8	16
170	0.187	1.5383	CHIP1672	799	519	-	8	17
171	0.168	1.4732	CHIP1617	1474	1000	-	8	18
172	0.138	1.3736	CHIP1649	1463	1065	-	9	0
173	0.069	1.1709	CHIP1681	674	575	-	9	1
174	0.091	1.2338	CHIP1618	701	568	-	9	2
