21	2100	21300	75	39	23	11	73	37	83	72	0	36	3.091	6017	121	63	28	15	98	81	0	120	61	59	3.875	9711	100	0.607	0.633	0.675	0.573	2.816	0.535	0.406	80	554	95	98	-0.72	38	60	0.000621447	0.001071666	0.579888605	-0.236655425	0
22	2330	21300	67	40	21	11	65	38	81	55	0	27	2.364	5425	93	62	21	19	71	38	0	95	60	34	1.571	7486	110	0.791	0.9	0.685	0.841	3.129	0.588	0.182	80	650	61	61	-0.339	29	32	0.000474262	0.000571555	0.829774813	-0.081039752	0
23	2560	21290	153	39	55	10	152	37	98	97	0	115	10.8	12336	157	59	48	16	96	93	0	157	58	98	6.118	12571	100	1.168	1.179	1.179	1.152	1.954	1.135	0.628	80	560	213	214	0.224	116	98	0.001897048	0.001750387	1.083787511	0.034944142	0
24	2790	21290	107	39	35	10	103	38	98	96	0	65	6.4	8582	147	60	35	16	100	96	0	143	58	84	5.412	11731	110	0.775	0.778	0.773	0.739	2.45	0.806	0.458	80	656	149	156	-0.367	68	88	0.001112063	0.001571776	0.70751959	-0.150261531	0
25	3030	21290	208	39	75	10	208	37	97	97	0	171	16	25032	260	59	83	15	96	95	0	257	57	199	13.313	31265	120	0.86	0.848	0.805	0.822	2.132	0.823	0.743	120	768	370	373	-0.218	171	202	0.00279651	0.003607941	0.775098631	-0.11064303	0
26	3270	21290	155	39	41	11	154	38	100	98	0	116	10	12449	185	60	50	16	98	97	0	180	58	121	7.824	14845	100	0.96	0.925	0.979	0.953	2.031	0.87	0.675	80	560	237	244	-0.06	117	127	0.001913402	0.002268359	0.843518029	-0.073905631	0
27	3500	21290	2687	40	642	11	2600	38	100	100	0	2561	226.818	322470	2640	61	680	16	100	100	0	2544	58	2485	160.941	316834	120	1.031	1.026	0.996	1.054	1.608	1.006	0.913	120	780	5046	5230	0.043	2648	2582	0.043305024	0.046117346	0.939018117	-0.027326028	0
28	3730	21290	81	39	26	10	78	38	92	78	0	40	4	6546	113	61	25	16	97	73	0	108	59	49	3.056	9062	110	0.822	0.809	0.821	0.727	2.87	0.706	0.3	80	650	89	96	-0.282	43	53	0.000703216	0.000946638	0.742856306	-0.129095185	0
29	3980	21290	159	40	49	11	163	38	96	96	0	125	10.182	19124	193	62	52	16	97	95	0	196	60	135	7.722	23240	120	0.922	0.91	0.908	0.919	2.343	0.855	0.654	120	755	260	252	-0.117	120	132	0.001962463	0.002357664	0.832375988	-0.079680456	0
30	4210	21290	119	41	36	11	118	39	97	94	0	79	6.727	14322	161	61	46	16	97	91	0	161	60	100	5.889	19397	120	0.789	0.799	0.839	0.779	2.31	0.692	0.562	120	749	179	180	-0.342	80	100	0.001308309	0.001786109	0.73249087	-0.135197784	0
31	4440	21290	315	39	135	10	302	37	98	96	0	265	26	16384	460	62	206	16	100	100	0	440	60	379	23.444	23915	90	0.698	0.695	0.704	0.701	1.857	0.656	0.826	52	420	644	676	-0.519	277	399	0.004530019	0.007126577	0.635651538	-0.196780898	0
32	4680	21290	2016	41	464	11	1995	39	100	100	0	1956	169.273	241954	1460	61	364	16	100	100	0	1443	59	1383	82.444	175175	130	1.414	1.412	1.415	1.403	1.486	1.431	0.935	120	849	3339	3377	0.499	1977	1400	0.032331583	0.025005532	1.292977187	0.111590862	0
33	4910	21290	2307	40	449	12	2406	38	100	100	0	2368	178.083	184540	2868	59	754	17	100	100	0	3138	57	3080	156.842	229491	110	0.769	0.807	0.799	0.837	1.408	0.78	0.957	80	650	5448	5080	-0.379	2269	2811	0.03710691	0.050207537	0.739070519	-0.131314121	0
34	5150	21290	529	40	338	11	473	38	100	100	0	434	41.909	42323	461	60	410	16	100	100	0	384	59	325	25.059	36964	110	1.337	1.22	1.359	1.312	1.599	1.003	0.785	80	650	759	893	0.419	491	402	0.008029746	0.00718016	1.118324058	0.048567668	0
35	5380	21290	176	41	49	11	177	39	100	98	0	137	11.545	14101	246	59	55	16	100	100	0	252	58	194	11.706	19729	100	0.71	0.726	0.738	0.71	1.779	0.712	0.697	80	560	331	324	-0.494	136	188	0.002224125	0.003357886	0.662358765	-0.178906712	0
36	5620	21290	4418	41	530	11	4462	39	100	100	0	4423	375.091	353478	4626	59	665	16	100	100	0	4771	57	4714	285	370105	110	0.938	0.958	0.967	0.964	1.289	0.952	0.954	80	651	9137	8947	-0.092	4378	4569	0.071597203	0.081607341	0.877337773	-0.056833172	0
37	5860	21290	117	40	33	10	120	39	96	93	0	81	7.3	9420	162	59	39	16	100	95	0	154	57	97	6.056	12994	100	0.841	0.75	0.73	0.715	2.199	0.697	0.606	80	560	178	182	-0.249	78	104	0.001275601	0.001857554	0.68671019	-0.163226508	0
