32	-0.446070721	8067	7704	2702.82	789	873	423.38	7278	6915	11541	11789	3454.06	1626	1707	630.22	9915	10163	1.362324815	1.469703543	0.446070721	0.555525175	0.446070721
33	-0.557051094	9162	8474	3255.22	829	881	357.61	8333	7645	13921	13165	4107.13	1661	1724	628.15	12260	11504	1.47125885	1.504774362	0.557051094	0.589547174	0.557051094
34	-1.381407232	4100	4142	1523.28	769	842	388.04	3331	3373	10458	10462	3882.83	1780	1797	616.62	8678	8682	2.605223657	2.57396976	1.381407232	1.363995104	1.381407232
35	-1.423282615	2171	2281	815.65	797	856	398.36	1374	1484	5417	5332	1674.07	1732	1825	714.94	3685	3600	2.681950509	2.425876011	1.423282615	1.278505815	1.423282615
36	0.020115709	65535	56371	19608.08	825	871	379.04	64710	55546	65535	56791	17901.48	1721	1790	726.92	63814	55070	0.986153608	0.991430526	-0.020115709	-0.012416415	-0.020115709
37	-0.476594632	3682	3727	1048.2	803	837	387.58	2879	2924	5637	5686	1784.23	1631	1648	608.51	4006	4055	1.391455366	1.386798906	0.476594632	0.471758603	0.476594632
38	-0.65114267	6532	6086	1786.13	773	794	373.8	5759	5313	10520	10353	2802.25	1476	1579	534.55	9044	8877	1.57041153	1.670807453	0.65114267	0.740545484	0.65114267
39	-0.432174543	4339	4242	1494.63	866	906	395.51	3473	3376	6315	6206	1998.65	1629	1711	642.09	4686	4577	1.349265764	1.355746445	0.432174543	0.439087388	0.432174543
40	-1.220873141	2288	2404	915.71	795	896	382.98	1493	1609	5153	5632	2559.42	1673	1751	598.59	3480	3959	2.330877428	2.460534493	1.220873141	1.298971741	1.220873141
41	-0.451430516	2915	3207	1064.59	811	870	382.8	2104	2396	4644	5335	2328.18	1767	1796	581.54	2877	3568	1.367395437	1.489148581	0.451430516	0.574487707	0.451430516
42	-0.745466022	6009	5698	2091.81	797	869	407.02	5212	4901	10485	10315	3751.42	1747	1748	595.18	8738	8568	1.676515733	1.74821465	0.745466022	0.805882333	0.745466022
43	-1.07319588	2654	2825	1540.83	771	824	362.36	1883	2054	5639	6697	4549.91	1677	1745	608.17	3962	5020	2.104089219	2.444011685	1.07319588	1.289251183	1.07319588
44	-1.205610056	3010	2950	1179.84	836	871	372.11	2174	2114	6671	6901	2807.96	1657	1716	598.57	5014	5244	2.306347746	2.480605487	1.205610056	1.310692309	1.205610056
45	-0.879503411	4805	4963	1636.45	930	975	453.96	3875	4033	8825	10036	6766.41	1696	1736	573.69	7129	8340	1.839741935	2.067939499	0.879503411	1.048193978	0.879503411
46	-0.827444036	16477	15417	4133.57	869	933	392.32	15608	14548	29371	27551	7813.62	1674	1734	599.87	27697	25877	1.774538698	1.778732472	0.827444036	0.83084954	0.827444036
47	1.642503701	46964	44485	10956.94	851	872	395.46	46113	43634	16356	15706	4030.81	1586	1633	538.51	14770	14120	0.320300132	0.323600862	-1.642503701	-1.627712645	-1.642503701
48	-1.359367665	10796	10631	2523.14	899	904	360.69	9897	9732	26977	25853	6521.5	1584	1633	536.2	25393	24269	2.565726988	2.493732018	1.359367665	1.318306438	1.359367665
49	-1.926268377	9682	9709	6072.75	931	963	380.78	8751	8778	34982	33104	13457.63	1722	1771	583.36	33260	31382	3.80070849	3.575074049	1.926268377	1.837973124	1.926268377
50	-1.121161282	2242	2209	844.63	878	928	427.63	1364	1331	4695	4778	1756.36	1728	1735	615.24	2967	3050	2.175219941	2.291510143	1.121161282	1.196298671	1.121161282
51	-2.338944072	2772	2747	1024.22	884	923	370.41	1888	1863	11323	11616	4063.94	1771	1758	535.89	9552	9845	5.059322034	5.284487386	2.338944072	2.401763532	2.338944072
52	-1.203491719	3583	3623	1008.68	850	915	690.16	2733	2773	8114	8094	2185.81	1820	1967	1343.08	6294	6274	2.302963776	2.262531554	1.203491719	1.177937913	1.203491719
53	-0.768380149	6392	5859	2135.43	850	955	771.57	5542	5009	11221	11032	4022.34	1781	2262	4573.83	9440	9251	1.703356189	1.846875624	0.768380149	0.885086713	0.768380149
54	-1.603200065	3175	3211	1213.09	843	872	422.03	2332	2368	8761	8156	2604.86	1676	1729	678.5	7085	6480	3.038164666	2.736486486	1.603200065	1.452324732	1.603200065
55	-0.838807735	1479	1515	582.2	779	821	399.19	700	736	2877	3195	1412.82	1625	1721	594.25	1252	1570	1.788571429	2.133152174	0.838807735	1.092986888	0.838807735
56	-1.02026185	6560	6392	1827.25	833	881	397.72	5727	5559	13158	12809	3491.4	1542	1653	686.53	11616	11267	2.028287061	2.026803382	1.02026185	1.019206141	1.02026185
57	-2.202166294	14611	12627	5491	712	775	378.48	13899	11915	65535	60576	15071.98	1576	1606	480.61	63959	59000	4.601697964	4.951741502	2.202166294	2.307936003	2.202166294
58	-1.102150436	15231	14285	4460.94	825	864	417.69	14406	13460	32551	30325	9870.62	1625	1742	605.81	30926	28700	2.146744412	2.132243685	1.102150436	1.092372327	1.102150436
59	-0.91934312	21568	20799	5166	850	867	412.96	20718	19949	40871	38232	11052.51	1688	1767	810.56	39183	36544	1.891253982	1.831871272	0.91934312	0.873318127	0.91934312
60	-0.705221609	12901	12016	3378.49	853	913	417.97	12048	11163	21329	20073	6237.15	1686	1765	571.21	19643	18387	1.630395086	1.647137866	0.705221609	0.719961314	0.705221609
61	-1.404644172	1885	1949	855.9	875	927	482.56	1010	1074	4402	4856	2555.28	1728	1831	773.66	2674	3128	2.647524752	2.912476723	1.404644172	1.542246519	1.404644172
62	-1.456420776	2269	2400	1031.24	830	852	415.21	1439	1570	5573	6210	3174.24	1624	1706	585.38	3949	4586	2.744266852	2.921019108	1.456420776	1.546471796	1.456420776
63	-1.270017895	2795	3309	1178.36	820	878	379.96	1975	2489	6480	6800	3348.56	1717	1717	584.66	4763	5083	2.41164557	2.042185617	1.270017895	1.030114	1.270017895
64	-0.999282598	8983	8616	2796.06	937	934	372.07	8046	7679	17774	17139	5369.31	1690	1752	595.71	16084	15449	1.999005717	2.011850501	0.999282598	1.008523104	0.999282598
65	-2.107102045	2037	2159	813.68	934	946	391.94	1103	1225	6401	7005	2259.06	1649	1698	565.61	4752	5356	4.308250227	4.372244898	2.107102045	2.128374211	2.107102045
66	-0.509132784	15255	13966	4063.85	855	876	373.7	14400	13111	22196	21679	6494.74	1702	1715	531.82	20494	19977	1.423194444	1.523682404	0.509132784	0.607562219	0.509132784
67	-1.44401561	2464	2539	1122.99	856	902	368.67	1608	1683	5979	6523	2389.81	1604	1695	705.11	4375	4919	2.720771144	2.922756982	1.44401561	1.547329878	1.44401561
68	-1.461631568	1688	4946	11745.67	854	923	395.05	834	4092	3957	5462	6561.72	1660	1775	723.26	2297	3802	2.754196643	0.92913001	1.461631568	-0.106047613	1.461631568
69	-0.984569959	1743	1869	798.56	756	837	380.33	987	1113	3782	4335	1811.97	1829	1860	628.33	1953	2506	1.978723404	2.251572327	0.984569959	1.170932822	0.984569959
70	-0.674361586	2993	3003	966.15	803	868	398.15	2190	2200	5135	5337	2280.93	1640	1687	522.77	3495	3697	1.595890411	1.680454545	0.674361586	0.74885152	0.674361586
71	-1.986125157	1522	1630	680.62	869	879	368.63	653	761	4304	4542	1614.14	1717	1767	550.94	2587	2825	3.961715161	3.712220762	1.986125157	1.892282509	1.986125157
72	-3.604862058	842	872	335.77	818	863	377.9	24	54	2057	2125	672.89	1765	1786	567.52	292	360	12.16666667	6.666666667	3.604862058	2.736965594	3.604862058
73	-4.722466024	760	865	475.31	750	822	399.2	10	115	1891	1962	753.96	1627	1721	602.68	264	335	26.4	2.913043478	4.722466024	1.542527234	4.722466024
74	0.501520049	2642	2611	790.24	803	832	380.71	1839	1808	2806	3882	5018.29	1507	1620	547.24	1299	2375	0.706362153	1.313606195	-0.501520049	0.393532836	-0.501520049
75	-0.715494064	952	963	384.62	776	823	412.14	176	187	1861	2082	873.09	1572	1664	586.67	289	510	1.642045455	2.727272727	0.715494064	1.447458977	0.715494064
76	-0.453910391	817	847	348	698	756	366.25	119	149	1682	1756	595.79	1519	1600	550.56	163	237	1.369747899	1.590604027	0.453910391	0.669574728	0.453910391
77	-1.178695211	1468	1516	628.3	812	858	404.85	656	704	3024	3348	1439.03	1539	1614	554.53	1485	1809	2.263719512	2.569602273	1.178695211	1.361545074	1.178695211
78	-0.929033479	924	1066	710.15	799	849	391.21	125	267	1931	2388	2091.22	1693	1727	581.94	238	695	1.904	2.602996255	0.929033479	1.380173236	0.929033479
79	null	802	948	482.25	820	869	390.79	-17	128	1867	1996	697.72	1717	1758	561.24	150	279	-8.823529412	2.1796875	null	1.124121312	null
80	-1.847996907	1145	1355	772.81	795	841	384.79	350	560	2988	3494	2076.91	1728	1721	579.54	1260	1766	3.6	3.153571429	1.847996907	1.656986611	1.847996907
81	-1.680667014	1085	1115	408.12	842	883	409.16	243	273	2384	2623	1071.3	1605	1646	583.25	779	1018	3.205761317	3.728937729	1.680667014	1.898764705	1.680667014
82	-3.037287233	993	1128	564.79	845	902	417	148	283	2861	3085	1567.39	1646	1729	654.8	1215	1439	8.209459459	5.084805654	3.037287233	2.346192634	3.037287233
83	-1.97645595	1283	1335	571.64	866	918	402.98	417	469	3279	3434	1191.37	1638	1736	590.75	1641	1796	3.935251799	3.829424307	1.97645595	1.937127522	1.97645595
84	-3.52498684	932	1121	507.89	844	873	372.51	88	277	2672	2721	1017.69	1659	1765	621.88	1013	1062	11.51136364	3.833935018	3.52498684	1.938825885	3.52498684
85	1.153805336	879	913	357.49	790	873	420.07	89	123	1719	1826	637.73	1679	1744	540.85	40	147	0.449438202	1.195121951	-1.153805336	0.257157839	-1.153805336
