1	238	232	3193	3519	3237	290	282	343	3948	4291	.902	0	.306	.987	75	70	.986	.809	1.014	1.236	.942	1230	177	39	54	62	77	.306
2	229	225	289	536	262	278	274	334	319	653	.841	0	.142	1.147	34	37	1.103	.906	.907	1.104	.738	1020	177	41	56	80	95	.142
3	229	225	2977	3303	3031	280	272	331	3697	4028	.913	0	.312	1.036	57	57	.982	.805	1.018	1.242	.921	1050	177	41	56	100	115	.312
4	229	225	545	752	483	282	269	328	589	917	.919	0	.112	1.039	49	47	1.128	.925	.886	1.081	.774	1050	177	41	56	120	135	.112
5	259	242	1986	2132	1849	302	283	345	2255	2600	.831	0	.183	.927	57	63	1.074	.881	.931	1.135	.752	1080	177	41	56	140	155	.183
6	271	256	3559	3742	3452	302	290	353	4210	4563	0	0	.242	.924	64	66	1.031	.845	.97	1.183	0	1146	177	39	54	162	177	.242
7	260	256		284	1	292	283	345	1	346	.005	0		1.214	1	4			0		.006	1126	177	39	54	182	197	
8	256	253	6	291	4	296	287	350	4	354	.084	0	-.585	1.19	3	2	1.5	1.5	.667	.667	.101	1140	177	39	54	202	217	-.585
9	255	249	5	283	1	291	282	343	2	345	.017	0	-1.322	1.292	0	3	5	2.5	.2	.4	.026	1128	177	39	54	222	237	-1.322
10	259	247	2	282	10	283	272	331	12	343		0	2.585	1.723	1	5	.2	.167	5	6		1112	177	39	54	242	257	2.585
11	254	245	1	276	3	280	273	332	4	336	.106	0	2	1.396	1	3	.333	.25	3	4	.156	1112	177	39	54	262	277	2
12	250	245		281	8	286	273	332	10	342	.094	0		1.818	2	5			0		.131	1120	177	39	54	282	297	
13	257	248	74	339	68	289	271	330	83	413	.206	0	.166	1.719	5	10	1.088	.892	.919	1.122	.189	1120	177	39	54	302	317	.166
14	254	246	11	283	14	287	269	328	17	345	.097	0	.628	1.68	3	5	.786	.647	1.273	1.545	.12	1112	177	39	54	322	337	.628
15	245	239	105	570	298	282	272	331	364	695	.027	0	1.794	.813	9	7	.352	.288	2.838	3.467	.074	1127	177	39	54	342	357	1.794
16	242	234	13	284	11	282	273	332	14	346	.378	0	.107	1.434	5	8	1.182	.929	.846	1.077	.482	1127	177	39	54	363	378	.107
17	238	229	10	294	22	278	272	331	27	358	.386	0	1.433	1.5	5	8	.455	.37	2.2	2.7	.619	1112	177	39	54	383	398	1.433
18	241	234	33	316	45	280	271	330	55	385	.299	0	.737	1.315	12	16	.733	.6	1.364	1.667	.381	1112	177	39	54	403	418	.737
19	241	235	14	295	25	280	270	329	30	359	.202	0	1.1	1.418	6	11	.56	.467	1.786	2.143	.406	1260	177	39	54	423	438	1.1
20	242	237	4	273		295	283	345		332	.075	0		1.441	3	2					.106	1076	177	59	74	62	77	
21	240	236		271		283	276	336		330		0		.906	0	1			0			846	177	59	74	82	97	
22	239	234	13	278	6	279	272	331	8	339	.014	0	-.7	.68	4	5	2.167	1.625	.462	.615	.017	850	177	59	74	102	117	-.7
23	242	238		269		279	272	331		328		0		1.561	1	1			0			850	177	59	74	122	137	
