22	0.254789687	STM3980	STM3980	2160	39100	150	73	75	30	63	66	25	33	8	0	228	233	45	223	226	40	24	7	0	1.798	1.299	0.771	0.756	3.135	0.106	0.004	156	1086	14	21	0.846	9	5	12	9	11820	36334	0.37	0.158	-50
23	-0.458420756	STM0699	STM0699	2400	39120	90	159	176	64	59	65	26	98	86	0	510	488	131	224	228	40	94	88	0	0.348	0.442	0.405	0.462	1.819	0.37	0.47	52	420	384	379	-1.521	99	285	116	263	9157	25407	4.179	6.474	0
24	-0.026872146	STM3783	STM3783	2630	39110	150	84	96	53	62	67	25	45	29	0	239	252	69	216	217	37	39	21	0	0.94	0.952	0.809	0.733	3.232	0.438	0.118	156	1012	44	69	-0.089	21	23	34	35	15097	39350	1.148	0.917	-50
25	0.069298012	STM1785	STM1785	2870	39110	150	91	104	50	63	68	26	53	35	0	245	252	47	221	222	37	40	15	0	1.173	1.333	0.873	0.995	2.395	0.678	0.039	156	1036	52	70	0.23	28	24	40	30	16208	39308	1.357	0.778	-50
26	0.114277297	yoaE	STM1828	3110	39110	90	233	247	91	64	68	27	100	94	0	349	360	68	219	221	37	94	88	0	1.301	1.295	1.21	1.214	1.778	1.416	0.478	52	420	297	323	0.38	168	129	182	141	12848	18739	6.517	3.667	0
27	0.652729696	hycD	STM2850	3340	39110	150	69	77	36	64	68	27	30	12	0	224	227	40	223	224	40	19	3	0	4.495	3.147	0.767	0.757	3.707	12.92	0.001	156	1076	5	17	2.168	4	1	13	4	12145	35561	0.345	0.079	-50
28	0.07371835	yacF	STM0139	3580	39120	100	844	897	249	67	70	25	100	100	0	880	1278	3562	224	224	40	97	96	0	1.185	0.788	1.235	1.223	1.773	0.041	0.036	80	546	1433	1883	0.245	777	656	830	1053	71816	102293	32.333	26.289	0
29	-1.193820026	sseD	STM1401	3810	39110	90	325	317	129	67	69	24	98	96	0	4229	4304	1497	228	230	48	100	100	0	0.064	0.061	0.065	0.057	1.378	0.061	0.824	52	420	4257	4325	-3.955	257	4000	250	4075	16493	223803	10.077	83.957	0
30	0.400883216	yiaB	STM3659	4040	39110	150	77	83	36	64	68	26	37	16	0	225	229	54	220	224	43	20	5	0	2.517	1.998	0.787	0.87	3.462	0.124	0.006	156	1098	18	27	1.332	13	5	18	9	13003	35807	0.571	0.122	-50
31	-0.007446482	hycE	STM2849	4280	39110	80	164	162	48	64	67	25	88	82	0	321	309	51	220	224	36	78	63	0	0.983	1.102	0.967	0.912	2.186	0.905	0.221	52	340	200	185	-0.024	99	101	97	88	8407	16085	3.704	2.286	0
32	0.003029471	STM4202	STM4202	4520	39110	80	120	130	48	67	70	25	82	51	0	276	278	48	223	224	40	61	26	0	1.007	1.158	1.04	1.037	3.135	0.352	0.049	52	340	105	117	0.01	53	52	63	54	6802	14475	2.37	1.342	0
33	-0.178486472	STM1493	STM1493	4760	39120	100	404	408	146	66	70	27	100	98	0	730	722	216	220	221	36	100	97	0	0.663	0.682	0.67	0.69	1.539	0.652	0.764	80	560	848	844	-0.593	338	510	342	502	32704	57796	12.31	13.571	0
34	0.076640444	STM3863	STM3863	4990	39120	90	139	149	56	70	73	26	84	53	0	276	280	55	218	220	35	59	38	0	1.193	1.28	1.386	1.355	2.819	1.268	0.124	52	420	127	141	0.255	69	58	79	62	7782	14581	2.893	1.676	0
35		lpfA	STM3640	5220	39110	150	72	75	30	67	70	25	22	10	0	211	215	39	218	219	35	14	5	0	-0.749	-2.697	0.608	0.742	4.109	7.735	0.002	156	942	-2	5	Error	4	-6	8	-3	11863	33538	0.222	-0.118	-50
36		STM0015	STM0015	5460	39110	150	72	74	27	68	71	25	20	7	0	207	213	41	217	218	36	17	3	0	-0.4	-1.573	0.608	0.708	3.417	32.003	0	156	984	-6	2	Error	3	-9	6	-4	11715	33163	0.148	-0.143	-50
37	0.125481266	yfaV	STM2290	5700	39120	100	739	705	183	66	71	26	100	100	0	724	728	109	220	222	54	100	100	0	1.335	1.257	1.252	1.224	1.211	1.313	0.861	80	554	1177	1147	0.417	673	504	639	508	56411	58318	23.893	9.231	0
38	0.029789471	ruvB	STM1894	5940	39120	110	951	922	293	77	153	500	85	33	0	1036	1017	193	220	271	487	93	15	0	1.071	1.06	1.095	1.018	1.227	1.116	0.852	80	628	1690	1641	0.099	874	816	844	797	73800	81427	1.536	1.532	0
39	0.062205809	dgoK	STM3829	1700	39350	100	268	274	112	62	67	27	100	97	0	401	401	86	223	225	37	95	90	0	1.154	1.192	1.081	1.123	1.886	1.253	0.513	80	560	383	390	0.207	205	178	212	178	22010	32159	7.552	4.639	0
40	0.271841607	nrfC	STM4279	1930	39350	90	308	300	93	61	67	29	100	100	0	354	365	63	222	224	37	94	88	0	1.87	1.666	1.76	1.738	1.696	1.691	0.478	52	420	377	381	0.903	246	131	238	143	15610	19032	7.935	3.722	0
41	0.159266331	menG	STM4089	2170	39350	100	1792	1815	639	63	65	23	100	100	0	1421	1443	516	223	223	34	98	96	0	1.443	1.436	1.326	1.52	1.657	1.424	0.861	80	540	2926	2972	0.529	1728	1198	1752	1220	145243	115483	73.84	35.061	0
42	4.953763725	STM2716	STM2716	2400	39340	150	73	76	27	62	66	26	28	8	0	219	224	41	219	221	36	18	5	0	89900.835	2.697	0.801	0.657	3.234	0.152	0.006	156	1008	11	19	16.456	11	0	14	5	11940	35026	0.393	0.086	-50
43	0.005180513	STM3136	STM3136	2640	39350	100	251	272	104	64	67	24	97	96	0	395	408	75	210	214	40	100	95	0	1.012	1.053	1.129	0.961	1.917	1.137	0.569	80	546	370	404	0.017	186	184	207	197	21748	32657	8.308	4.842	0
