1	CPE0708	-0.194186053
2	CPE0702	-0.247998722
3	CPE0681	null
4	CPE0674	-0.734756056
5	CPE0323	null
6	CPE0317	-1.914460635
7	CPE0296	0.391752515
8	CPE0290	-1.496489215
9	CPE0267	0.648383595
10	CPE0260	-0.948537778
11	CPE0241	-2.838774323
12	CPE0234	null
13	CPE1227	-0.487819924
14	CPE1220	null
15	CPE1199	null
16	CPE1192	null
17	CPE1172	0.208911924
18	CPE1164	null
19	CPE1144	0.757109737
20	CPE1135	null
21	CPE0763	null
22	CPE0757	null
23	CPE0735	null
24	CPE0728	null
25	CPE2044	-1.391136796
26	CPE2038	null
27	CPE2020	null
28	CPE2014	-1.475669713
29	CPE1674	-0.484477998
30	CPE1668	-0.545918472
31	CPE1648	-1.87666907
32	CPE1642	0.421677238
33	CPE1622	0.243287021
34	CPE1614	0.153745802
35	CPE1590	null
36	CPE1582	0.406834285
37	CPE2528	-1.448388769
38	CPE2520	-0.356328489
39	CPE2502	-0.326118562
40	CPE2495	-2.75997856
41	CPE2475	-0.637892803
42	CPE2469	0.812238787
43	CPE2449	-0.025456405
44	CPE2443	0.458178926
45	CPE2101	null
46	CPE2094	-0.737093381
47	CPE2072	-1.157638322
48	CPE2065	0.928842154
49	PCP49	-1.643465172
50	IGR85	-1.440937977
51	PCP25	-0.95008587
52	IGR61	-0.950765217
53	CPE1521	-1.27274753
54	CPE1383	null
55	CPE0964	0.525496813
56	CPE0842	-0.811916548
57	CPE0048	null
58	CPE2619	-0.179922784
59	CPE2359	-2.075979828
60	CPE2301	-1.347324748
73	CPE0708	-0.58372541
74	CPE0702	-2.49498899
75	CPE0681	null
76	CPE0674	0.144839062
77	CPE0323	null
78	CPE0317	null
79	CPE0296	null
80	CPE0290	0.11400683
81	CPE0267	0.296195747
82	CPE0260	0.918103218
83	CPE0241	null
84	CPE0234	null
85	CPE1227	null
86	CPE1220	-0.058483656
87	CPE1199	-0.336023564
88	CPE1192	null
89	CPE1172	0.542013326
90	CPE1164	-1.225282183
91	CPE1144	-0.080221883
92	CPE1135	0.018349802
93	CPE0763	0.766734114
94	CPE0757	null
95	CPE0735	2.316546447
96	CPE0728	-0.43656342
97	CPE2044	null
98	CPE2038	null
99	CPE2020	null
100	CPE2014	1.959159548
101	CPE1674	0.303850336
102	CPE1668	-0.004416536
103	CPE1648	-1.570937163
104	CPE1642	0.015700531
105	CPE1622	0.554963368
106	CPE1614	1.069255741
107	CPE1590	0.359992447
108	CPE1582	0.597175114
109	CPE2528	0.40958989
110	CPE2520	-1.136441645
111	CPE2502	-0.803179956
112	CPE2495	-2.724522954
113	CPE2475	-0.715524996
114	CPE2469	0.204531498
115	CPE2449	-0.229782017
116	CPE2443	0.453195017
117	CPE2101	-1.02868825
118	CPE2094	0.417765233
119	CPE2072	0.438952262
120	CPE2065	0.603007678
121	PCP49	-1.585742793
122	IGR85	-1.887116321
123	PCP25	-0.493205222
124	IGR61	-1.097082446
125	CPE1521	-0.9103935
126	CPE1383	null
127	CPE0964	-0.468977411
128	CPE0842	-0.339293814
129	CPE0048	-0.59177996
130	CPE2619	-0.008646208
131	CPE2359	-1.190008986
132	CPE2301	-0.828667565
145	CPE0484	null
146	CPE0477	-0.380080665
147	CPE0454	0.240850119
148	CPE0448	0.29598049
149	CPE0108	0.076915744
150	CPE0102	1.519501154
151	CPE0081	0.432139086
152	CPE0073	1.282570345
153	CPE0053	0.942063875
154	CPE0046	0.227612102
155	CPE0023	-1.26055298
156	CPE0016	null
157	CPE0998	-0.765082429
158	CPE0992	-0.984571615
159	CPE0970	-0.768707685
160	CPE0962	1.74623172
161	CPE0938	1.741634406
162	CPE0932	-0.307605478
163	CPE0909	0.402964054
164	CPE0903	0.595074559
165	CPE0541	1.489437082
166	CPE0532	1.493624374
167	CPE0514	0.668522228
168	CPE0505	0.077194923
169	CPE1833	null
170	CPE1826	-0.404357265
171	CPE1807	0.007438854
172	CPE1801	null
173	CPE1449	0.490000168
174	CPE1442	0.769809528
175	CPE1424	null
176	CPE1416	null
177	CPE1396	null
178	CPE1390	1.095110332
179	CPE1369	1.114591208
180	CPE1363	0.348006859
181	CPE2313	null
182	CPE2305	-0.148984044
183	CPE2283	-0.021867343
184	CPE2277	-0.364630665
185	CPE2258	0.866792408
186	CPE2251	1.370020575
187	CPE2230	0.791219605
188	CPE2223	null
189	CPE1889	0.346596476
190	CPE1881	null
191	CPE1861	0.937592606
192	CPE1855	-0.052874984
193	PCP01	-0.803049517
194	IGR37	0.194980239
195	CPE0689	0.003078989
196	IGR13	null
197	CPE0949	1.946025467
198	CPE0843	0.040610624
199	CPE0613	0.331604227
200	CPE0579	1.122571306
201	CPE0335	3.949559211
202	CPE0272	-0.176167966
203	CPE0024	-0.156734319
204	CPE2655	null
217	CPE0484	-1.628749936
218	CPE0477	null
219	CPE0454	null
220	CPE0448	0.542016338
221	CPE0108	0.069662549
222	CPE0102	2.424037144
223	CPE0081	0.32998637
224	CPE0073	-0.792832372
225	CPE0053	0.857265065
226	CPE0046	0.258489888
227	CPE0023	-0.574499107
228	CPE0016	-0.038612019
229	CPE0998	0.156881978
230	CPE0992	-1.576987703
231	CPE0970	-0.05930652
232	CPE0962	0.563068014
233	CPE0938	null
234	CPE0932	null
235	CPE0909	-0.16704985
236	CPE0903	0.02727346
237	CPE0541	1.08109534
238	CPE0532	1.087470888
239	CPE0514	0.110268193
240	CPE0505	null
241	CPE1833	null
242	CPE1826	null
243	CPE1807	-0.900068485
244	CPE1801	null
245	CPE1449	null
246	CPE1442	null
247	CPE1424	0.530091249
248	CPE1416	null
249	CPE1396	-0.829776729
250	CPE1390	2.103310604
251	CPE1369	1.371552737
252	CPE1363	0.956210822
253	CPE2313	-0.312915517
254	CPE2305	-0.912624668
255	CPE2283	-0.979031332
256	CPE2277	-1.923372099
257	CPE2258	1.541776252
258	CPE2251	0.306523237
259	CPE2230	0.753115131
260	CPE2223	null
261	CPE1889	0.613864401
