1	1652	737	31	8	1934	895	32	9	-0.174	0.887
2	101	41	31	7	113	36	31	8	-0.22	0.801
3	258	85	31	8	315	123	31	8	-0.36	0.818
4	222	83	31	8	234	92	31	8	0	0.913
5	137	54	31	7	132	40	30	7	0.165	0.93
6	91	31	30	8	73	24	31	8	0.466	1.301
7	1046	349	31	8	1589	737	32	9	-0.842	0.74
8	193	56	32	8	184	72	32	9	0.094	1.113
9	107	54	31	7	103	46	31	8	0.129	0.92
10	846	409	32	8	1575	807	32	9	-0.963	0.56
11	455	228	31	8	374	204	32	9	0.186	1.333
12	538	211	31	7	897	358	32	8	-0.701	0.556
13	74	26	30	8	65	20	31	8	0.415	1.344
14	66	21	31	8	67	28	32	8	0.126	0.907
15	2483	1221	31	9	2524	1081	32	9	0.119	0.855
16	569	260	31	7	573	151	32	8	0.121	0.831
17	1612	772	31	7	2077	778	31	9	-0.289	0.639
18	1542	647	32	8	1903	975	32	8	-0.334	1.139
19	37	9	31	8	58	14	31	8	-2.115	0.242
20	575	185	31	8	506	259	32	8	0.32	1.392
21	410	107	30	8	413	95	31	9	0.011	0.956
22	37	9	30	8	61	19	31	8	-1.7	0.34
23	61	18	31	8	71	23	31	8	-0.438	0.726
24	51	17	31	8	68	29	32	8	-0.84	0.556
25	68	22	31	8	85	38	32	8	-0.558	0.81
26	41	11	31	8	48	15	33	9	-0.628	0.59
27	160	64	31	7	192	57	32	8	-0.194	0.752
28	107	41	31	8	99	40	33	9	0.019	1.165
29	116	49	32	20	117	41	35	34	0.225	0.944
30	62	19	31	8	77	24	33	12	-0.505	0.631
31	156	49	31	8	139	54	32	8	0.325	1.211
32	198	69	32	8	143	58	31	8	0.564	1.577
33	127	48	31	8	103	36	32	9	0.446	1.249
34	1943	823	32	8	2364	1063	33	9	-0.244	0.874
35	33	10	31	8	33	8	32	8	0	0.766
36	56	21	31	8	67	22	33	9	-0.383	0.759
37	70	25	31	8	84	29	32	9	-0.322	0.781
38	79	26	31	8	84	32	31	8	-0.081	0.875
39	252	93	31	9	202	93	32	9	0.233	1.42
40	49	15	31	8	56	16	32	9	-0.497	0.79
41	77	24	31	8	72	24	32	8	0.276	1.179
42	273	83	32	9	205	74	32	9	0.501	1.545
43	275	92	31	8	247	58	32	8	0.299	1.06
44	31	7	31	8	31	9	32	8	null	0.973
45	79	23	30	7	100	41	33	9	-0.451	0.761
46	1168	550	31	9	896	411	31	8	0.441	1.279
47	7232	3169	32	8	4751	1658	31	9	0.643	1.366
48	345	101	31	8	271	53	32	8	0.512	1.234
49	112	34	31	8	106	43	31	8	0.143	1.086
50	116	45	31	9	98	40	32	9	0.485	1.455
51	31	6	31	8	33	8	32	9	0	0.722
52	2917	2165	31	8	3095	2296	31	8	-0.393	0.963
53	98	26	32	8	85	20	32	8	0.303	1.189
54	113	40	30	8	110	37	32	8	0.091	0.972
55	230	102	32	9	310	107	32	9	-0.353	0.582
56	58	20	32	8	64	20	32	8	-0.152	0.895
57	357	119	30	7	276	108	32	8	0.409	1.468
58	44	13	31	8	45	18	32	9	0.348	0.954
59	81	31	31	8	81	32	31	9	0.209	0.929
60	787	279	32	8	750	260	32	8	0.089	1.028
61	55	18	31	8	65	18	31	8	-0.521	0.673
62	618	177	32	8	583	271	32	8	-0.018	1.285
63	86	36	31	9	70	24	31	8	0.729	1.183
64	811	332	31	8	744	265	32	8	0.239	0.966
65	150	47	31	8	118	49	32	8	0.393	1.334
66	162	66	31	8	119	48	32	9	0.684	1.566
67	85	32	31	8	108	39	32	9	-0.604	0.632
68	9472	3541	32	9	7824	3782	32	9	0.111	1.48
69	3302	2229	32	14	3757	1770	32	9	-0.394	0.724
70	85	31	31	8	68	20	31	7	0.522	1.507
71	105	38	31	8	97	41	31	8	0.298	1.235
72	89	30	31	8	121	37	31	8	-0.763	0.627
73	123	28	31	8	94	27	31	8	0.555	1.515
74	193	70	31	8	286	119	32	12	-0.715	0.671
75	427	94	32	8	352	136	32	8	0.23	1.353
76	34	9	31	7	63	20	31	9	-2.858	0.24
77	93	30	32	7	76	25	32	9	0.292	1.353
78	194	76	32	8	156	62	32	8	0.336	1.305
79	111	43	31	8	87	36	32	16	0.602	1.209
80	1082	465	31	8	1361	492	31	8	-0.321	0.725
81	1753	426	32	8	1513	410	32	8	0.298	1.169
82	1232	382	32	8	1237	329	32	10	0.003	0.96
83	887	315	31	8	1460	593	32	9	-0.686	0.621
84	622	268	31	8	809	163	32	8	-0.287	0.596
85	10172	3789	31	8	8452	3402	32	8	0.282	1.282
86	2487	2037	32	8	2509	2100	32	8	-0.025	1.216
87	225	87	31	8	227	106	31	8	-0.13	1.002
88	34	10	31	8	58	19	31	8	-3.7	0.218
89	400	192	31	8	362	157	31	8	0.171	1.066
90	186	72	31	8	205	91	32	9	-0.243	0.933
91	4828	1210	31	8	5159	1575	32	8	-0.095	0.959
92	65	21	31	7	77	26	32	8	-0.568	0.79
93	619	172	30	8	566	143	31	8	0.145	1.086
94	110	46	32	8	106	51	32	8	0.061	1.057
95	1252	421	32	8	885	448	31	8	0.437	1.895
96	4638	2160	31	8	5449	2693	32	8	-0.254	0.951
97	31	8	31	8	30	8	32	8	-1.585	0.566
98	23642	8004	35	15	13472	6440	32	9	0.655	2.398
99	199	70	31	7	189	78	31	8	0.114	1.233
100	184	62	32	8	197	77	31	8	-0.107	0.973
101	376	168	31	8	348	178	32	8	0.193	1.384
102	1965	822	31	7	2561	768	32	8	-0.272	0.648
103	2762	2185	31	8	2797	2321	32	9	0.093	1.279
104	998	430	32	8	1270	512	32	8	-0.293	0.777
105	80	35	31	8	87	29	32	8	-0.231	0.773
106	219	72	31	8	232	113	31	11	0.007	1.073
107	42	12	31	8	47	18	32	9	-0.531	0.957
108	721	212	32	8	579	197	32	8	0.324	1.295
109	300	135	31	8	281	119	32	9	0.163	0.957
110	71	23	31	8	88	35	32	8	-0.522	0.716
111	337	130	31	8	313	136	31	8	0.059	1.168
112	72	25	31	7	68	22	32	9	0.234	1.128
113	63	23	32	8	73	24	31	8	-0.248	0.761
114	166	57	31	7	102	41	32	9	0.912	2.226
115	901	307	31	8	743	372	32	8	0.303	1.509
116	133	39	31	8	112	28	31	8	0.354	1.261
117	237	75	32	8	194	64	32	9	0.327	1.321
118	147	46	32	9	124	43	32	9	0.334	1.324
119	2178	710	32	8	2633	948	32	8	-0.242	0.886
120	53	17	31	8	86	29	31	8	-1.322	0.386
121	833	396	31	8	1561	722	32	8	-0.853	0.465
122	51	18	31	8	57	20	32	9	-0.474	0.777
123	247	86	32	8	222	97	32	9	0.02	1.319
124	199	58	32	8	153	57	32	9	0.498	1.523
125	48	18	31	8	58	31	32	8	-0.553	0.536
126	4535	2214	32	8	5436	2255	33	9	-0.196	0.755
127	69	23	32	8	83	30	31	8	-0.497	0.703
128	282	112	32	8	234	63	32	9	0.308	1.153
129	785	324	31	8	768	232	32	8	0.123	0.886
130	152	54	31	7	125	49	31	8	0.381	1.26
131	76	29	31	8	92	34	31	9	-0.445	0.673
132	680	185	32	9	564	207	33	9	0.192	1.369
133	812	366	32	8	751	267	31	8	0.056	0.98
134	277	120	32	8	238	92	31	8	0.291	1.021
135	393	74	31	8	255	52	32	9	0.61	1.651
136	10656	5552	31	7	7953	5180	32	8	0.355	2.114
137	58	19	32	8	83	25	32	8	-0.973	0.444
138	1717	417	32	7	1378	511	33	9	0.308	1.377
139	636	167	31	8	565	181	32	8	0.196	1.158
140	259	71	30	7	193	71	32	9	0.529	1.529
141	2922	1108	32	8	2250	1060	32	8	0.584	1.379
142	51	16	32	7	47	15	31	8	0.392	1.201
143	400	109	33	9	365	108	32	9	0.155	1.115
144	334	145	32	8	249	110	32	8	0.499	1.531
145	873	378	31	8	1136	357	33	14	-0.259	0.66
146	56	17	31	8	74	26	32	8	-0.874	0.611
147	288	179	36	17	304	209	36	17	-0.044	1.051
148	89	35	36	17	107	53	37	17	-0.387	0.816
149	68	18	33	8	57	19	31	8	0.567	1.345
150	184	43	32	9	175	67	33	44	-0.019	1.185
151	103	44	31	8	121	41	32	8	-0.33	0.731
152	85	27	32	8	79	27	31	8	0.253	1.091
153	11291	5807	32	8	8979	4675	32	8	0.314	1.371
154	59	19	31	7	80	27	32	9	-0.515	0.497
