1	2420	22200	1172.324707	54.529411	1122.971191	129.165451	178.233932	19400	3.283261	0.95282	0.965691	0.995865	9.076148	0.857756	212.86171	28.867647	187.567947	71.497185	177.697342	9400	3.283261	0.946276	0.993362	0.997833	2.977204	0.793921	1	1	1	1	1	1	1	1	1	1	1	0	1	1117.795296	183.994063	0.0634374	0.022605724	0.4481273	2.806253822
2	2680	22200	446.53891	37.029411	394.455933	110.140747	191.159576	16700	10.785937	0.970009	0.987732	0.996574	4.054257	0.834255	125	25.735294	97.288765	81.342216	179.479706	5900	10.785937	0.933695	0.997208	0.997169	1.536717	0.409791	1	1	1	1	1	1	1	1	1	1	1	0	1	409.509499	99.264706	0.023240586	0.012195777	0.2800383	1.905625701
3	2930	22200	371.647491	63.044117	337.402466	147.399292	184.378693	13900	10.785937	0.958941	0.98967	0.996391	2.521366	0.672364	198.298706	17.67647	163.433472	63.369904	175.896927	7700	10.785937	0.94759	0.994347	0.997818	3.129225	0.805039	1	1	1	1	1	0	1	1	1	1	1	1	1	308.603374	180.622236	0.017513936	0.022191458	-0.1028023	0.789219737
4	3170	22200	329.052643	59.10294	605.908081	125.07003	187.630173	11400	3.283261	0.965686	0.99128	0.996101	2.630947	0.701586	146.875	14	137.414825	46.554092	165.452881	4800	3.283261	0.919376	0.995514	0.998528	3.154932	0.806011	1	1	1	1	1	0	1	1	1	1	1	1	1	269.949703	132.875	0.015320253	0.016325177	-0.0275923	0.938443344
5	3430	22210	263.111115	63.808823	237.274948	175.965332	183.166229	9000	16.785891	0.937054	0.992493	0.994843	1.495244	0.398732	157.333328	7.573529	141.761612	27.924908	166.412033	4800	16.785891	0.912044	0.995277	0.999031	5.634158	0.86901	1	1	1	1	1	0	1	1	1	1	1	1	1	199.302292	149.759799	0.011310854	0.018399663	-0.2113143	0.614731583
6	3670	22200	906.863159	50.470589	683.909851	119.962364	183.513474	19000	3.283261	0.959575	0.979706	0.996658	7.559564	0.848157	262.096008	28.941177	213.654465	114.607162	177.518127	12500	3.283261	0.936493	0.994232	0.995865	2.286908	0.609842	1	1	1	1	1	1	1	1	1	1	1	0	1	856.39257	233.154831	0.048602207	0.028645673	0.2295973	1.696668333
7	3920	22200	404	62.5	365.530304	145.004227	183.166229	15100	3.283261	0.950107	0.988564	0.996239	2.786126	0.742967	186.970581	26.764706	146.939316	75.222679	170.194611	6800	3.283261	0.917162	0.9963	0.99765	2.485561	0.662816	1	1	1	1	1	0	1	1	1	1	1	0	1	341.5	160.205875	0.019380894	0.01968308	-0.0067193	0.98464743
8	4170	22200	262.155334	72.735291	241.563202	162.883591	180.89296	10300	3.283261	0.947599	0.992744	0.995293	1.609464	0.42919	170.214279	26.191177	156.07074	68.262062	162.345505	4200	3.283261	0.910814	0.994476	0.997803	2.493541	0.664944	1	1	1	1	1	0	1	1	1	1	1	0	1	189.420043	144.023102	0.010750014	0.017694846	-0.2164383	0.607522339
9	4430	22200	511.944458	41.558823	425.208862	144.994217	190.992981	16200	10.785937	0.963309	0.986877	0.997368	3.530792	0.819194	167.292313	17.970589	160.508057	51.353027	168.124725	6500	10.785937	0.905555	0.995415	0.998337	3.257691	0.809802	1	1	1	1	1	1	1	1	1	1	1	1	1	470.385635	149.321724	0.026695444	0.01834584	0.1629003	1.455122436
10	4690	22210	453.15152	45.132355	448.408081	105.322662	186.950348	13200	24.234743	0.961068	0.987305	0.996933	4.302507	0.841333	138.25	27.661764	121.219276	85.661186	161.164795	5200	24.234743	0.941699	0.996635	0.998024	1.613916	0.430378	1	1	1	1	1	1	1	1	1	1	1	0	1	408.019165	110.588236	0.023156006	0.013586999	0.2315403	1.704276729
