1_1_1	null	null	null	314	351	157	119	123	32	98	93	0	506	545	166	292	291	43	97	95	0	0.911	0.917	0.862	0.882	1.672	0.912	0.795	80	398	409	485	-0.134	195	214	232	253	0
1_1_2	null	null	null	119	129	46	120	123	32	20	12	0	302	310	54	294	292	46	21	9	0	-0.125	0.563	0.853	0.848	3.255	0.337	0.045	156	988	7	25	Error	-1	8	9	16	-50
1_1_3	null	null	null	127	129	37	120	123	32	19	8	0	323	324	53	298	298	51	30	11	0	0.28	0.346	0.679	0.676	3.932	0.002	0	156	834	32	35	-1.837	7	25	9	26	-50
1_1_4	null	null	null	258	283	117	120	123	33	95	81	0	503	532	161	316	318	45	92	83	0	0.738	0.755	0.781	0.787	1.754	0.707	0.756	80	403	325	379	-0.438	138	187	163	216	0
1_1_5	null	null	null	131	132	40	124	126	32	19	5	0	306	309	49	307	308	42	17	3	0	-7	4	0.736	0.845	4.044	0.238	0.017	156	981	6	10	Error	7	-1	8	2	-50
1_1_6	null	null	null	121	124	32	124	125	32	15	2	0	298	294	43	290	293	40	19	5	0	-0.375	0	0.733	0.682	4.206	0.03	0	156	880	5	4	Error	-3	8	0	4	-50
1_1_7	null	null	null	255	884	1344	125	125	32	76	60	0	620	1025	1000	297	299	45	89	82	0	0.402	1.043	0.784	0.625	2.766	1.282	0.935	156	814	453	1487	-1.313	130	323	759	728	-100
1_1_8	null	null	null	1255	1441	1048	130	131	33	100	100	0	1306	1436	789	316	317	40	100	100	0	1.136	1.171	1.096	1.102	1.276	1.229	0.958	52	385	2115	2431	0.184	1125	990	1311	1120	0
1_1_9	null	null	null	1347	1498	891	126	128	34	100	100	0	1293	1411	679	311	312	38	100	100	0	1.243	1.247	1.244	1.231	1.284	1.253	0.959	52	420	2203	2472	0.314	1221	982	1372	1100	0
1_1_10	null	null	null	1435	1502	803	120	125	32	100	100	0	1422	1472	592	301	301	43	100	100	0	1.173	1.18	1.151	1.102	1.316	1.23	0.954	52	420	2436	2553	0.23	1315	1121	1382	1171	0
1_1_11	null	null	null	124	129	36	122	125	32	22	7	0	297	303	51	302	302	38	14	4	0	-0.4	7	1	0.847	3.875	0.187	0.009	156	1078	-3	8	Error	2	-5	7	1	-50
1_1_12	null	null	null	127	130	31	123	126	33	20	4	0	307	309	44	307	305	40	17	3	0	100000	3.5	0.749	0.821	3.863	13.186	0.001	156	965	4	9	16.61	4	0	7	2	-50
1_1_13	null	null	null	452	626	431	121	124	33	100	94	0	630	769	353	301	298	39	98	96	0	1.006	1.079	0.993	0.993	1.461	1.143	0.911	52	373	660	973	0.009	331	329	505	468	0
1_1_14	null	null	null	406	526	308	120	122	31	100	94	0	583	690	273	292	293	37	100	100	0	0.983	1.02	1.012	0.929	1.521	1.066	0.912	52	340	577	804	-0.025	286	291	406	398	0
1_1_15	null	null	null	365	454	277	120	125	31	96	90	0	540	646	241	292	293	39	100	96	0	0.988	0.944	0.885	0.801	1.681	1.015	0.846	52	340	493	688	-0.018	245	248	334	354	0
1_1_16	null	null	null	423	540	326	121	124	32	96	94	0	596	708	300	293	295	39	98	92	0	0.997	1.01	1.094	0.942	1.96	1.044	0.895	52	340	605	834	-0.005	302	303	419	415	0
1_1_17	null	null	null	125	127	33	122	124	32	21	5	0	302	299	34	291	291	38	19	1	0	0.273	0.625	0.892	0.936	3.894	0.194	0.003	156	1045	14	13	-1.874	3	11	5	8	-50
1_1_18	null	null	null	116	121	31	123	126	32	12	2	0	291	292	39	293	293	39	17	1	0	3.5	2	0.725	0.849	3.523	0.009	0	156	963	-9	-3	1.807	-7	-2	-2	-1	-50
1_1_19	null	null	null	261	278	120	124	127	30	90	78	0	457	515	138	305	303	38	100	96	0	0.901	0.733	0.758	0.687	1.74	0.726	0.653	52	306	289	364	-0.15	137	152	154	210	0
1_1_20	null	null	null	141	170	109	125	127	31	37	21	0	328	354	120	298	297	44	39	25	0	0.533	0.804	0.701	0.661	3.37	0.747	0.364	156	1192	46	101	-0.907	16	30	45	56	-50
1_2_1	null	null	null	278	317	120	122	126	32	98	88	0	521	556	159	297	298	41	98	92	0	0.696	0.753	0.776	0.742	1.889	0.71	0.735	52	382	380	454	-0.522	156	224	195	259	0
1_2_2	null	null	null	149	171	86	122	125	32	46	30	0	345	380	121	297	298	45	51	30	0	0.563	0.59	0.671	0.681	3.379	0.57	0.367	156	898	75	132	-0.83	27	48	49	83	-50
1_2_3	null	null	null	124	128	31	122	124	32	19	4	0	319	324	59	306	305	48	29	7	0	0.154	0.333	0.375	0.472	4.667	0.007	0	156	669	15	24	-2.7	2	13	6	18	-50
1_2_4	null	null	null	124	128	32	125	127	33	15	3	0	313	314	44	324	324	42	14	0	0	0.091	-0.3	0.6	0.617	4.044	37.664	0	156	800	-12	-7	-3.459	-1	-11	3	-10	-50
1_2_5	null	null	null	130	129	30	128	129	33	12	1	0	341	343	62	315	315	42	40	17	0	0.077	0.036	0.369	0.364	3.742	0.037	0.001	156	830	28	29	-3.7	2	26	1	28	-50
1_2_6	-3.31E-01	9.695077	0.041769722	968	1403	1074	127	127	33	100	100	0	1120	1427	951	303	305	39	100	100	0	1.029	1.135	1.116	1.142	1.29	1.137	0.966	80	491	1658	2400	0.042	841	817	1276	1124	0
1_2_7	-3.97E-02	9.702049	0.333547178	1059	1613	1321	124	126	30	100	100	0	1042	1622	1214	300	303	49	100	98	0	1.26	1.126	1.113	1.124	1.366	1.109	0.961	52	326	1677	2811	0.334	935	742	1489	1322	0
1_2_8	-1.47E-01	10.005198	0.248169056	1247	1741	1367	127	129	34	100	100	0	1267	1762	1285	324	321	41	98	98	0	1.188	1.122	1.129	1.162	1.547	1.094	0.977	52	406	2063	3052	0.248	1120	943	1614	1438	0
1_2_9	-1.50E-01	9.492104	0.208172471	900	1037	678	126	128	31	100	100	0	986	1184	642	316	314	41	100	100	0	1.155	1.05	1.023	1.003	1.37	1.056	0.948	52	420	1444	1779	0.208	774	670	911	868	0
