1_1_1	null	null	null	1051	1153	1073	49	50	12	100	98	0	965	1116	921	49	49	7	100	100	0	1.094	1.035	0.889	1.103	1.014	1.006	0.828	52	321	1918	2171	0.129	1002	916	1104	1067	0
1_1_2	null	null	null	55	109	224	49	74	109	8	5	0	52	75	90	49	54	25	17	11	0	2	2.308	1.667	2.944	3.601	2.237	0.835	80	506	9	86	1	6	3	60	26	-50
1_1_3	null	null	null	1795	2881	2721	53	83	129	92	83	0	2482	2743	2108	51	60	39	100	100	0	0.717	1.051	0.911	0.995	0.57	1.1	0.891	80	561	4173	5520	-0.481	1742	2431	2828	2692	0
1_1_4	null	null	null	1062	1209	852	48	50	11	96	94	0	1443	1456	790	51	52	10	100	100	0	0.728	0.826	0.774	0.783	0.417	0.835	0.844	52	398	2406	2566	-0.457	1014	1392	1161	1405	0
1_1_5	null	null	null	90	110	58	49	50	9	83	75	0	184	182	89	49	49	7	91	91	0	0.304	0.459	0.471	0.758	0.921	0.387	0.497	12	104	176	194	-1.719	41	135	61	133	0
1_1_6	null	null	null	3578	3853	3260	46	48	14	100	100	0	3652	3748	2574	51	52	11	100	100	0	0.981	1.03	0.924	0.908	0.37	1.089	0.933	80	601	7133	7504	-0.028	3532	3601	3807	3697	0
1_1_7	null	null	null	660	1483	1799	45	47	12	100	98	0	1687	2670	2661	52	53	11	100	100	0	0.376	0.549	0.363	0.477	0.335	0.587	0.88	52	378	2250	4056	-1.411	615	1635	1438	2618	0
1_1_8	null	null	null	271	679	912	43	43	10	98	95	0	680	1526	1772	50	51	8	100	100	0	0.362	0.431	0.34	0.422	0.337	0.428	0.77	80	502	858	2112	-1.466	228	630	636	1476	0
1_1_9	null	null	null	261	459	480	45	46	10	100	100	0	475	864	855	50	50	7	100	100	0	0.508	0.509	0.473	0.52	0.226	0.511	0.895	52	388	641	1228	-0.976	216	425	414	814	0
1_1_10	null	null	null	265	397	407	48	49	12	98	96	0	428	561	526	51	51	8	100	98	0	0.576	0.684	0.63	0.709	0.381	0.654	0.787	80	514	594	859	-0.797	217	377	349	510	0
1_1_11	null	null	null	245	401	424	48	49	11	100	100	0	371	552	511	51	51	7	100	100	0	0.616	0.705	0.593	0.72	0.41	0.697	0.796	32	236	517	854	-0.7	197	320	353	501	0
1_1_12	null	null	null	194	313	331	49	51	18	98	96	0	339	443	425	50	50	9	100	100	0	0.502	0.672	0.66	0.716	0.452	0.686	0.827	52	393	434	657	-0.995	145	289	264	393	0
1_1_13	null	null	null	564	604	366	50	52	13	100	100	0	610	626	328	52	52	7	100	100	0	0.921	0.965	0.933	1	0.479	0.936	0.858	52	334	1072	1128	-0.118	514	558	554	574	0
1_1_14	null	null	null	570	605	312	51	53	16	100	100	0	626	633	247	52	54	14	100	100	0	0.904	0.954	0.937	0.979	0.416	0.91	0.833	32	230	1093	1135	-0.145	519	574	554	581	0
1_1_15	null	null	null	52	59	33	52	55	44	6	3	0	53	55	10	52	54	13	6	2	0	0	2.333	1.75	2.659	2.405	0.72	0.112	80	492	1	10	Error	0	1	7	3	-50
1_1_16	null	null	null	51	52	13	52	53	12	13	3	0	52	53	7	53	54	8	10	0	0	1	0	2.2	2.841	2.845	0.115	0.003	80	484	-2	0	0	-1	-1	0	0	-50
1_1_17	null	null	null	51	52	13	52	56	42	0	0	0	57	57	9	54	55	8	25	11	0	-0.333	0	1.5	2.179	2.275	2.567	0.196	80	484	2	3	Error	-1	3	0	3	-50
1_1_18	null	null	null	52	52	11	52	57	43	0	0	0	56	56	9	56	57	9	12	3	0	0	0	1	2.406	4.142	1.79	0.16	80	484	0	0	Error	0	0	0	0	-50
1_1_19	null	null	null	53	54	14	55	57	15	11	3	0	54	55	9	55	55	8	16	3	0	2	100000	2.083	2.816	3.025	0.135	0.005	80	478	-3	-1	1	-2	-1	-1	0	-50
1_1_20	null	null	null	64	64	13	63	64	24	5	0	0	52	52	7	52	54	16	3	0	0	100000	100000	1.556	2.935	2.887	0.118	0.004	80	477	1	1	16.61	1	0	1	0	-50
1_1_21	null	null	null	62	64	16	64	65	13	20	7	0	54	53	7	52	53	8	17	0	0	-1	0	1.4	4.775	7.476	0.137	0.005	80	484	0	1	Error	-2	2	0	1	-50
1_1_22	null	null	null	64	68	15	65	67	17	16	3	0	53	53	9	55	55	8	11	1	0	0.5	-1.5	1.571	2.578	3.365	0.02	0	80	484	-3	1	-1	-1	-2	3	-2	-50
1_1_23	null	null	null	57	58	12	59	62	21	2	0	0	60	60	10	58	59	9	17	6	0	-1	-0.5	1.321	2.796	3.485	-0.066	0.002	80	488	0	1	Error	-2	2	-1	2	-50
1_1_24	null	null	null	54	57	13	55	57	17	13	2	0	59	59	7	60	61	8	15	1	0	1	-2	1.333	4.046	4.837	-0.043	0.001	80	509	-2	1	0	-1	-1	2	-1	-50
1_2_1	-2.59E-01	-0.486012218	8.702438	399	489	385	47	48	11	100	92	0	541	585	353	48	48	6	100	100	0	0.714	0.823	0.686	0.794	0.481	0.827	0.778	52	320	845	979	-0.486	352	493	442	537	0
1_2_2	-3.88E-01	-0.611804113	8.455649	333	559	539	49	92	158	78	46	0	483	603	378	49	57	32	100	100	0	0.654	0.921	0.663	0.855	0.62	0.957	0.687	32	236	718	1064	-0.612	284	434	510	554	0
1_2_3	-4.46E-01	-0.646363045	6.846743	144	333	340	52	60	76	53	40	0	193	339	304	49	52	33	90	71	0	0.639	0.969	0.774	0.875	0.683	0.993	0.863	32	176	236	571	-0.646	92	144	281	290	0
1_2_4	-1.07E-01	-0.336752742	8.903086	475	650	489	49	50	12	100	100	0	589	670	383	51	53	21	100	100	0	0.792	0.971	0.874	0.962	0.583	0.927	0.8	32	236	964	1220	-0.337	426	538	601	619	0
1_2_5	-6.99E-01	-0.928916902	8.972253	410	533	422	46	49	16	93	87	0	744	709	351	51	51	9	100	100	0	0.525	0.74	0.674	0.682	0.421	0.769	0.716	32	236	1057	1145	-0.929	364	693	487	658	0
1_2_6	-2.26E-01	-0.455395237	8.952211	470	579	446	47	48	12	96	96	0	630	695	387	50	50	7	100	100	0	0.729	0.825	0.644	0.847	0.614	0.807	0.72	32	236	1003	1177	-0.455	423	580	532	645	0
1_2_7	-6.43E-01	-0.872125177	8.82838	382	552	454	46	47	13	98	96	0	665	708	457	50	50	8	100	100	0	0.546	0.769	0.619	0.745	0.425	0.784	0.814	52	334	951	1164	-0.872	336	615	506	658	0
