1_1_1	-8.58E-01	10.846535	-1.168880327	1593	1875	954	365	369	117	96	92	0	3088	3060	1689	327	334	63	100	98	0	0.445	0.553	0.534	0.582	2.309	0.511	0.753	52	366	3989	4243	-1.169	1228	2761	1510	2733	0
1_1_2	5.35E-01	11.329594	0.3800849	3308	3650	2220	372	379	120	97	97	0	2586	2543	1504	330	337	68	90	88	0	1.301	1.481	1.471	1.512	2.399	1.555	0.792	120	710	5192	5491	0.38	2936	2256	3278	2213	0
1_1_3	-2.37E-01	11.200172	-0.430083225	2405	2678	1386	378	391	129	98	96	0	3056	3234	1840	325	335	63	100	100	0	0.742	0.791	0.731	0.831	2.06	0.749	0.784	80	527	4758	5209	-0.43	2027	2731	2300	2909	0
1_1_4	4.63E-01	10.959299	0.193322877	2515	2672	1232	386	395	130	100	97	0	2199	2499	1198	337	346	65	97	97	0	1.143	1.057	1.006	1.041	1.888	1.07	0.789	80	543	3991	4448	0.193	2129	1862	2286	2162	0
1_1_5	5.43E-01	9.651051	-0.003588796	1213	1342	809	410	414	123	93	86	0	1149	1408	821	344	353	70	97	95	0	0.998	0.876	0.908	0.8	2.159	0.942	0.728	80	533	1608	1996	-0.004	803	805	932	1064	0
1_1_6	null	null	null	3392	3107	1276	416	421	135	96	96	0	3561	3374	1428	356	362	74	98	98	0	0.929	0.892	0.859	0.871	1.982	0.92	0.764	52	415	6181	5709	-0.107	2976	3205	2691	3018	0
1_1_7	1.61E-02	11.658073	-0.082130398	3561	3484	1604	420	428	135	96	96	0	3672	3461	1537	347	353	71	98	96	0	0.945	0.984	0.945	0.974	1.545	1.029	0.79	52	415	6466	6178	-0.082	3141	3325	3064	3114	0
1_1_8	2.56E-01	12.210593	0.18979784	5474	5626	2375	412	425	134	100	98	0	4805	4860	1977	367	372	70	100	100	0	1.141	1.16	1.18	1.106	1.549	1.165	0.881	80	618	9500	9707	0.19	5062	4438	5214	4493	0
1_1_9	null	null	null	1025	1051	354	431	442	140	90	86	0	1117	1090	339	363	370	69	98	92	0	0.788	0.853	0.834	0.888	1.859	0.956	0.632	52	420	1348	1347	-0.344	594	754	620	727	0
1_1_10	null	null	null	2502	2471	1006	428	434	141	94	94	0	2689	2577	1052	361	368	71	100	100	0	0.891	0.922	0.977	0.935	1.474	0.99	0.737	52	407	4402	4259	-0.167	2074	2328	2043	2216	0
1_1_11	4.91E-01	12.071463	0.414553682	5410	5809	2393	441	451	142	100	100	0	4109	4403	1877	381	387	76	100	100	0	1.333	1.335	1.392	1.347	1.612	1.341	0.82	80	606	8697	9390	0.415	4969	3728	5368	4022	0
1_1_12	2.57E-01	11.472392	0.134502043	3409	3795	2045	432	453	213	98	95	0	3089	3223	1786	377	384	75	95	91	0	1.098	1.182	1.181	1.298	2.354	1.19	0.816	120	698	5689	6209	0.135	2977	2712	3363	2846	0
1_1_13	3.59E-01	11.283984	0.190789521	3082	3820	2043	418	435	129	100	98	0	2710	3178	1686	376	379	67	98	98	0	1.141	1.214	1.196	1.238	1.793	1.259	0.783	80	516	4998	6204	0.191	2664	2334	3402	2802	0
1_1_14	3.27E-01	11.512561	0.21164902	3586	4070	2529	442	453	140	98	96	0	3098	3254	1916	383	385	66	94	92	0	1.158	1.264	1.092	1.286	2.406	1.337	0.752	120	676	5859	6499	0.212	3144	2715	3628	2871	0
1_1_15	5.58E-01	10.045682	0.030028795	1514	1652	844	446	456	142	94	89	0	1426	1534	758	380	385	77	94	90	0	1.021	1.045	1.024	1.016	2.188	1.109	0.597	120	699	2114	2360	0.03	1068	1046	1206	1154	0
1_1_16	null	null	null	2908	2883	1192	444	459	152	98	96	0	3004	2824	1162	371	385	117	98	97	0	0.936	0.994	0.936	0.99	2.635	1.016	0.785	80	527	5097	4892	-0.096	2464	2633	2439	2453	0
1_1_17	3.09E-01	11.500167	0.191114296	3558	3724	1732	463	465	140	100	97	0	3088	3411	1775	377	383	107	100	98	0	1.142	1.075	1.081	1.087	1.92	1.054	0.785	80	534	5806	6295	0.191	3095	2711	3261	3034	0
1_1_18	null	null	null	2541	2515	1132	463	469	146	97	96	0	2768	2549	1238	384	388	67	97	96	0	0.872	0.948	0.919	1.017	2.314	0.942	0.776	80	532	4462	4217	-0.198	2078	2384	2052	2165	0
1_1_19	4.09E-01	11.087922	0.18148537	2774	2877	1083	456	467	136	98	97	0	2429	2429	908	385	391	87	98	98	0	1.134	1.184	1.159	1.205	2	1.197	0.734	80	542	4362	4465	0.181	2318	2044	2421	2044	0
1_1_20	4.58E-01	10.903678	0.168593733	2493	2454	1104	462	512	507	92	76	0	2199	2256	1068	392	510	2160	38	0	0	1.124	1.069	0.99	1.054	2.411	2.099	0.575	52	415	3838	3856	0.169	2031	1807	1992	1864	0
1_2_1	-4.70E-01	10.366087	-0.930440436	1311	1437	632	355	362	112	100	96	0	2138	2330	992	316	324	68	100	98	0	0.525	0.537	0.528	0.516	1.571	0.55	0.807	80	591	2778	3096	-0.93	956	1822	1082	2014	0
