E100000001	-0.3585	158	146	96	101	0.78
E100000002	-0.0740	233	247	97	97	0.95
E100000003	0.0000	2329	1835	100	102	1
E100000004	0.3561	413	447	98	100	1.28
E100000005	0.8480	162	238	100	101	1.8
E100000006	0.2016	129	149	96	98	1.15
E100000007	-0.4344	118	107	98	99	0.74
E100000008	-0.2515	2930	2087	98	100	0.84
E100000009	-0.2345	5293	3303	99	105	0.85
E100000010	-0.3219	142	133	98	100	0.8
E100000011	-0.4540	2774	1700	99	103	0.73
E100000012	0.1375	102	107	98	100	1.1
E100000013	-0.7612	1313	527	99	104	0.59
E100000014	0.0000	1100	925	98	105	1
E100000015	-0.0291	455	324	99	102	0.98
E100000016	0.4005	4089	3335	106	113	1.32
E100000017	0.1763	2143	1839	104	108	1.13
E100000018	0.1506	103	109	98	103	1.11
E100000019	-0.8110	139	108	99	100	0.57
E100000020		100	107	98	108	
E100000021	-1.0589	693	273	99	101	0.48
E100000022	0.4005	910	819	98	102	1.32
E100000023	0.6323	474	590	99	103	1.55
E100000024	-1.3959	187	122	95	100	0.38
E100000025	0.6415	139	192	97	99	1.56
E100000026	1.2810	137	252	96	97	2.43
E100000027	0.3334	246	261	95	99	1.26
E100000028	-0.4540	2919	2039	100	104	0.73
E100000029	-0.2009	1706	1178	101	103	0.87
E100000030	0.1110	104	115	95	99	1.08
E100000031	-0.1844	11717	10048	106	114	0.88
E100000032	1.3618	249	578	96	100	2.57
E100000033	-0.8365	1953	913	96	99	0.56
E100000034	-0.3771	1057	706	96	100	0.77
E100000035	0.0841	1456	1216	99	102	1.06
E100000036	-0.1681	103	100	98	99	0.89
E100000037	0.3334	105	109	99	103	1.26
E100000038	0.0976	478	346	99	104	1.07
E100000039	-0.1520	549	367	98	101	0.9
E100000040	0.0144	245	214	99	102	1.01
E100000041	-0.1844	399	331	100	103	0.88
E100000042	0.2016	99	106	99	102	1.15
E100000043	-1.0000	144	106	98	97	0.5
E100000044	-1.6439	256	113	101	106	0.32
E100000045	-0.1047	160	134	98	99	0.93
E100000046	0.2016	246	241	99	100	1.15
E100000047	-0.4540	4685	3718	103	105	0.73
E100000048	-0.4150	190	172	95	100	0.75
E100000049	-0.2688	1997	1202	96	100	0.83
E100000050	0.3219	309	400	95	99	1.25
E100000051	-0.2009	336	268	95	102	0.87
E100000052	1.2690	105	148	96	97	2.41
E100000053	-0.1203	432	375	99	103	0.92
E100000054	0.2265	199	233	96	102	1.17
E100000055	0.0286	345	322	96	100	1.02
E100000056	0.4114	859	1085	98	101	1.33
E100000057	-0.1844	100	98	95	98	0.88
E100000058	-0.3401	2420	1799	98	101	0.79
E100000059	-0.5564	516	351	97	101	0.68
E100000060		100	96	98	99	
E100000061	0.1890	103	104	99	103	1.14
E100000062	-0.2863	293	206	99	109	0.82
E100000063	-0.1681	113	105	98	101	0.89
E100000064	-0.6215	229	141	99	101	0.65
E100000065	-0.5146	4395	3161	104	111	0.7
E100000066	-0.0893	102	101	98	98	0.94
E100000067	-0.5353	364	207	98	98	0.69
E100000068	-0.2009	156	126	99	99	0.87
E100000069	-0.4941	117	101	97	99	0.71
E100000070	-0.3585	135	113	99	97	0.78
E100000071	-0.8890	533	301	98	99	0.54
E100000072	-0.1361	103	106	95	100	0.91
E100000073	0.2265	374	380	96	100	1.17
E100000074	0.2750	245	310	97	99	1.21
E100000075	0.2016	97	102	97	100	1.15
E100000076	-0.0589	127	126	99	99	0.96
E100000077	0.0841	2255	1965	100	103	1.06
E100000078	-0.3771	356	282	96	101	0.77
E100000079	0.4542	113	132	97	100	1.37
E100000080	0.6323	241	364	99	101	1.55
E100000081	-0.5146	5701	2959	100	102	0.7
