E100000001	-0.1047	3022	2899	91	106	0.93
E100000002	0.2510	3272	3239	93	103	1.19
E100000003	0.1243	51769	40104	103	106	1.09
E100000004	-0.2688	12343	8371	95	112	0.83
E100000005	-0.3040	1433	1510	95	114	0.81
E100000006	0.9486	2395	5274	94	126	1.93
E100000007	-0.1681	1294	1469	89	107	0.89
E100000008	-0.2009	30750	17497	91	108	0.87
E100000009	-0.0145	62263	44421	104	114	0.99
E100000010	-0.2515	2154	1840	91	116	0.84
E100000011	0.1635	23569	20648	104	117	1.12
E100000012	-0.6439	4758	3794	97	122	0.64
E100000013	0.1375	35713	31461	96	112	1.1
E100000014	-0.1520	16503	12469	94	113	0.9
E100000015	0.0704	7875	7598	97	111	1.05
E100000016	-0.2345	23826	15836	115	123	0.85
E100000017	0.4854	19078	26947	94	118	1.4
E100000018		489	775	91	121	
E100000019	0.3448	711	789	92	109	1.27
E100000020	-0.5995	1249	834	91	104	0.66
E100000021	0.4854	11302	13227	92	109	1.4
E100000022	-0.1520	7797	6806	94	112	0.9
E100000023	-0.5146	4617	4159	94	118	0.7
E100000024	0.1375	13449	14714	95	123	1.1
E100000025	-0.3219	1288	1400	91	106	0.8
E100000026	0.0976	2681	2593	89	108	1.07
E100000027	-0.3959	3477	2542	97	106	0.76
E100000028	0.0144	30194	22339	98	110	1.01
E100000029	-0.1681	9222	8475	98	117	0.89
E100000030	-0.1203	1664	1895	95	124	0.92
E100000031	0.0976	59406	52440	98	110	1.07
E100000032		130	158	93	112	
E100000033	-0.0740	18467	12379	97	111	0.95
E100000034	-0.1844	17417	11498	94	108	0.88
E100000035	0.0000	41662	31710	100	120	1
E100000036		112	148	93	119	
E100000037	1.6554	484	620	92	112	3.15
E100000038	-0.2345	5620	4263	90	108	0.85
E100000039	0.3334	1461	2026	95	111	1.26
E100000040	-0.3040	1815	1819	93	106	0.81
E100000041	-0.1047	2040	2297	99	118	0.93
E100000042	-0.9159	623	553	93	109	0.53
E100000043	-0.1047	2217	1974	88	111	0.93
E100000044	0.3561	7349	7751	94	108	1.28
E100000045	-0.0291	1850	1961	88	103	0.98
E100000046	-0.1361	1730	1930	94	104	0.91
E100000047	0.2141	17113	20279	100	127	1.16
E100000048	-0.1681	18988	15753	94	121	0.89
E100000049	0.0426	15400	12711	94	105	1.03
E100000050	0.7049	3521	4532	91	104	1.63
E100000051	-0.2515	20697	12120	98	105	0.84
E100000052	0.4005	778	987	92	106	1.32
E100000053	-0.4150	37135	21819	111	124	0.75
E100000054	0.9107	774	1581	92	129	1.88
E100000055	-0.1844	8417	6559	90	110	0.88
E100000056	-0.4540	18373	8872	97	109	0.73
E100000057		135	154	90	102	
E100000058	0.2630	28260	24889	91	111	1.2
E100000059	0.0000	2929	3371	96	117	1
E100000060		103	155	90	115	
E100000061		118	148	89	114	
