CUST_2737_PI245939919	4.678	18770	4460	50	621	579	315	54	78	78	152	234	153	75	63	0	13986	11169	5839	52	82	82	359	1018	283	86	85	0	0.039	0.045	0.045	0.043	1.915	0.047	0.847	80	116	100	14447	11588	-4.678	543	13904	501	11087	46297	893501	1.825	10.619	0	0	0	-4.678
CUST_2738_PI245939919	4.657	14410	12780	50	640	583	271	46	71	71	100	98	98	88	83	0	14425	12623	5401	42	74	74	101	110	108	100	100	0	0.04	0.041	0.041	0.037	1.678	0.041	0.86	80	116	100	14920	13061	-4.657	569	14351	512	12549	46657	1009842	4.929	113.836	0	0	0	-4.657
CUST_6679_PI245939919	4.433	15105	10050	50	1368	1282	497	38	67	67	82	55	67	97	93	0	28166	25974	8921	34	73	73	223	709	317	100	100	0	0.046	0.047	0.046	0.043	1.364	0.048	0.958	80	92	100	29394	27116	-4.433	1301	28093	1215	25901	102573	2077918	21.818	36.32	0	0	0	-4.433
CUST_6680_PI245939919	4.431	15730	11255	50	1414	1322	553	41	71	71	128	188	146	90	87	0	29044	26970	10115	37	81	81	273	882	323	98	97	0	0.046	0.047	0.044	0.044	1.353	0.048	0.937	80	116	100	30306	28140	-4.431	1343	28963	1251	26889	105749	2157622	6.351	30.269	0	0	0	-4.431
CUST_6678_PI245939919	4.214	16685	3635	50	2211	2038	688	33	67	67	96	140	145	97	95	0	39860	35747	11650	32	74	74	114	140	122	100	100	0	0.054	0.055	0.054	0.054	1.269	0.056	0.966	80	116	100	41930	37644	-4.214	2144	39786	1971	35673	163034	2859758	13.871	254.521	0	0	0	-4.214
CUST_6677_PI245939919	4.181	18515	3000	50	1876	1635	647	39	69	69	94	70	74	97	97	0	32853	29134	9584	32	73	73	131	272	207	100	100	0	0.055	0.054	0.053	0.05	1.3	0.056	0.95	80	116	100	34587	30627	-4.181	1807	32780	1566	29061	130829	2330701	22.014	106.629	0	0	0	-4.181
CUST_4045_PI245939919	4.083	16535	7700	50	186	187	72	38	58	58	65	23	35	93	86	0	2233	2057	734	35	64	64	72	37	51	100	100	0	0.059	0.065	0.068	0.059	1.934	0.06	0.644	80	116	100	2297	2122	-4.083	128	2169	129	1993	14938	164580	5.304	53.649	0	0	0	-4.083
CUST_8638_PI245939919	4.083	20090	12460	50	172	186	96	51	68	68	78	46	58	73	51	0	1830	1698	734	43	67	67	101	144	142	95	88	0	0.059	0.072	0.071	0.06	2.212	0.079	0.624	80	92	100	1867	1749	-4.083	104	1763	118	1631	14845	135866	2.348	11.09	0	0	0	-4.083
CUST_8636_PI245939919	3.954	16205	7890	50	203	207	87	42	63	63	67	22	32	93	87	0	2236	2097	733	34	66	66	76	55	72	100	98	0	0.065	0.071	0.07	0.065	1.636	0.071	0.718	80	116	100	2310	2175	-3.954	140	2170	144	2031	16541	167742	6.364	36.745	0	0	0	-3.954
CUST_4046_PI245939919	3.82	17710	12400	50	181	178	74	41	58	58	65	24	36	88	81	0	1802	1666	640	38	65	65	66	16	24	100	100	0	0.071	0.075	0.077	0.07	2.039	0.067	0.622	80	92	100	1860	1721	-3.82	123	1737	120	1601	14249	133254	4.708	100	0	0	0	-3.82
