CUST_9280_PI245939919	7.852	1960	36395	50	65535	60709	11556	19	147	147	445	1204	270	100	100	78	350	335	96	28	67	67	69	16	23	98	98	0	231.053	225.978	223.167	238.822	1.45	228.851	0.837	80	92	100	65671	60830	7.852	65388	283	60562	268	4856757	26777	50.053	16.625	0	0	0
CUST_9281_PI245939919	7.608	3865	41985	50	65535	62382	8403	13	167	167	1148	2873	250	100	100	82	403	396	103	26	68	68	70	16	22	100	100	0	195.128	189.68	189.637	198.465	1.399	197.137	0.793	80	116	100	65703	62543	7.608	65368	335	62215	328	4990586	31690	21.314	20.375	0	0	0
CUST_6290_PI245939919	6.298	5735	42935	50	19918	18050	6293	34	93	93	149	208	139	100	100	0	322	322	90	27	70	70	70	13	18	100	100	0	78.671	71.258	70.869	67.872	1.55	78.382	0.835	80	92	100	20077	18209	6.298	19825	252	17957	252	1444001	25760	86.063	19.385	0	0	0
CUST_9278_PI245939919	6.255	3900	41920	50	28117	26539	9048	34	167	167	733	2340	319	98	97	0	433	421	114	27	67	67	68	16	23	98	98	0	76.366	74.497	73.473	71.791	1.376	82.986	0.872	80	116	100	28316	26726	6.255	27950	366	26372	354	2123159	33680	11.028	22.063	0	0	0
CUST_9279_PI245939919	6.224	7895	43510	50	20506	19188	7365	38	95	95	151	220	145	100	100	0	339	326	106	32	66	66	69	15	21	100	97	0	74.766	73.435	75.53	70.117	1.637	81.491	0.814	80	92	100	20684	19353	6.224	20411	273	19093	260	1535023	26083	86.532	17.133	0	0	0
CUST_6289_PI245939919	6.093	3720	40585	50	18250	16813	5276	31	97	97	125	94	75	100	100	0	334	326	88	26	68	68	71	16	22	100	100	0	68.244	64.791	62.082	63.41	1.458	70.558	0.848	80	92	100	18419	16974	6.093	18153	266	16716	258	1345022	26044	177.532	15.938	0	0	0
CUST_9283_PI245939919	6.033	6175	44335	50	15673	15280	3550	23	84	84	96	45	46	100	100	0	311	302	66	21	73	73	73	15	20	100	100	0	65.5	66.358	66.506	67.22	1.393	71.343	0.816	80	92	100	15827	15425	6.033	15589	238	15196	229	1222422	24131	337.422	15.267	0	0	0
CUST_9277_PI245939919	5.97	3790	40335	50	16957	15984	4254	26	100	100	113	69	61	100	100	0	342	342	95	27	73	73	76	21	27	100	98	0	62.665	59.048	60.617	60.248	1.407	61.728	0.84	80	92	100	17126	16153	5.97	16857	269	15884	269	1278694	27363	230.014	12.667	0	0	0
CUST_9276_PI245939919	5.932	5040	39825	50	18228	17198	4087	23	99	99	117	71	60	100	100	0	366	353	92	26	69	69	70	14	20	100	100	0	61.04	60.208	60.76	61.622	1.412	63.631	0.842	80	116	100	18426	17383	5.932	18129	297	17099	284	1375864	28221	240.577	20.214	0	0	0
CUST_9282_PI245939919	5.818	1080	38935	50	10744	10469	2183	20	78	78	87	43	49	100	100	0	260	260	55	21	71	71	74	20	27	100	100	0	56.434	54.979	57.54	56.017	1.429	60.208	0.772	80	312	100	10855	10580	5.818	10666	189	10391	189	837484	20815	241.442	9.3	0	0	0
CUST_6321_PI245939919	5.811	7785	38365	50	38407	40215	11647	28	123	123	154	144	93	100	100	0	752	775	155	20	70	70	71	17	23	100	100	0	56.135	56.868	57.539	55.257	1.371	62.083	0.882	80	116	100	38966	40797	5.811	38284	682	40092	705	3217236	61985	278.201	41.412	0	0	0
CUST_6280_PI245939919	5.809	6575	43635	50	18378	15849	7118	44	99	99	200	386	193	96	93	0	395	372	132	35	69	69	74	19	25	96	93	0	56.071	51.98	53.742	45.977	1.912	58.773	0.84	80	116	100	18605	16053	5.809	18279	326	15750	303	1267904	29736	40.541	15.684	0	0	0
CUST_6279_PI245939919	5.805	6540	39890	50	20801	19571	4379	22	121	121	179	193	107	100	100	0	441	446	101	22	71	71	77	25	32	100	100	0	55.892	51.867	51.823	51.981	1.333	55.148	0.862	80	92	100	21050	19825	5.805	20680	370	19450	375	1565664	35692	100.477	14.76	0	0	0
CUST_8175_PI245939919	5.731	8005	35445	50	11038	11188	2065	18	97	97	102	51	50	100	100	0	274	276	70	25	68	68	69	17	24	100	100	0	53.112	53.322	58.221	55.811	1.461	57.081	0.773	80	92	100	11147	11299	5.731	10941	206	11091	208	895000	22065	217.373	12.176	0	0	0
CUST_6317_PI245939919	5.688	6395	39255	50	9054	8878	1613	18	82	82	89	37	41	100	100	0	243	250	61	24	69	69	72	16	22	100	100	0	51.563	48.597	51.213	50.599	1.478	51.743	0.768	80	92	100	9146	8977	5.688	8972	174	8796	181	710234	19972	237.541	11.125	0	0	0
CUST_6322_PI245939919	5.671	5110	42240	50	46984	46396	12669	27	148	148	205	226	110	100	100	3	987	963	200	20	68	68	71	17	23	100	100	0	50.964	51.674	52.292	50.752	1.304	56.723	0.898	80	92	100	47755	47143	5.671	46836	919	46248	895	3711692	77005	204.385	52.471	0	0	0
CUST_6318_PI245939919	5.563	3940	39190	50	9927	9610	2077	21	97	97	114	86	75	100	100	0	277	277	70	25	69	69	72	18	25	100	100	0	47.26	45.736	45.745	47.369	1.481	48.886	0.78	80	116	100	10038	9721	5.563	9830	208	9513	208	768818	22182	110.419	11.389	0	0	0
CUST_8174_PI245939919	5.563	7310	36270	50	11288	11993	3391	28	87	87	99	46	46	100	100	0	310	362	218	60	73	73	76	20	26	100	100	0	47.262	41.197	49.898	48.497	1.722	42.242	0.565	80	116	100	11438	12195	5.563	11201	237	11906	289	959477	28925	258.565	14.3	0	0	0
CUST_8172_PI245939919	5.558	4635	39890	50	18746	18386	3706	20	96	96	109	60	55	100	100	0	465	465	88	18	69	69	71	16	22	100	100	0	47.096	46.187	47.147	46.356	1.264	49.704	0.866	80	92	100	19046	18686	5.558	18650	396	18290	396	1470893	37196	304.617	24.625	0	0	0
CUST_6283_PI245939919	5.478	4710	39255	50	13673	13154	2285	17	76	76	83	38	45	100	100	0	375	362	83	22	70	70	72	16	22	100	100	0	44.58	44.788	44.397	46.39	1.44	46.746	0.835	80	92	100	13902	13370	5.478	13597	305	13078	292	1052304	28936	343.974	18.125	0	0	0
CUST_8176_PI245939919	5.469	3865	41475	50	10047	9233	2838	30	83	83	111	101	90	100	100	0	294	290	67	23	69	69	71	16	22	100	100	0	44.284	41.403	42.531	40.634	1.437	47.801	0.791	80	92	100	10189	9371	5.469	9964	225	9150	221	738603	23196	90.317	13.688	0	0	0
CUST_4043_PI245939919	5.457	1885	36270	50	6138	6040	1329	22	77	77	90	43	47	100	100	0	209	227	67	29	71	71	75	21	28	100	97	0	43.92	38.224	39.021	41.021	1.524	40.363	0.739	80	116	100	6199	6119	5.457	6061	138	5963	156	483231	18127	138.372	7.238	0	0	0
CUST_6271_PI245939919	5.439	4415	34680	50	6631	6392	1775	27	81	81	109	95	87	100	100	0	223	225	63	28	72	72	73	15	20	100	98	0	43.377	41.248	39.685	42.962	1.586	42.118	0.766	80	92	100	6701	6464	5.439	6550	151	6311	153	511389	17984	66.137	10.133	0	0	0
CUST_9145_PI245939919	5.303	5295	37220	50	8667	8116	2158	26	99	99	109	56	51	100	100	0	291	290	80	27	74	74	75	18	24	98	98	0	39.484	37.116	39.353	37.737	1.389	38.796	0.811	80	92	100	8785	8233	5.303	8568	217	8017	216	649291	23198	142.982	11.944	0	0	0
CUST_6272_PI245939919	5.299	5955	43955	50	9187	8773	2202	25	95	95	99	37	37	100	100	0	303	306	87	28	72	72	73	19	26	100	98	0	39.359	37.085	38.273	38.241	1.517	40.741	0.762	80	92	100	9323	8912	5.299	9092	231	8678	234	701817	24447	234.432	12.263	0	0	0
CUST_6284_PI245939919	5.299	1335	42935	50	9709	9688	4038	41	100	100	152	197	129	98	98	0	311	310	103	33	67	67	68	16	23	100	98	0	39.381	39.457	38.606	37.45	1.572	43.627	0.86	80	92	100	9853	9831	5.299	9609	244	9588	243	775006	24834	48.406	15.125	0	0	0
CUST_8173_PI245939919	5.287	1300	41350	50	10828	10928	3573	32	90	90	102	67	65	100	100	0	345	342	99	28	70	70	70	17	24	100	100	0	39.047	39.846	40.08	40.19	1.301	41.325	0.892	80	116	100	11013	11110	5.287	10738	275	10838	272	874265	27356	161.582	16	0	0	0
CUST_8181_PI245939919	5.274	7455	39825	50	19596	19158	5614	29	98	98	131	135	103	100	100	0	578	592	132	22	74	74	74	17	22	100	100	0	38.687	36.795	38.428	35.54	1.421	40.217	0.877	80	116	100	20002	19578	5.274	19498	504	19060	518	1532600	47346	140.941	30.471	0	0	0
CUST_8180_PI245939919	5.257	3130	39700	50	21870	20745	5186	24	113	113	132	92	69	100	100	0	635	649	141	21	66	66	69	16	23	100	100	0	38.237	35.389	34.878	34.652	1.331	38.268	0.886	80	92	100	22326	21215	5.257	21757	569	20632	583	1659569	51940	224.054	36.25	0	0	0
